Straat,Coordinaten
Aard,"[""51.00830485"", ""3.8828496""]"
Aardeken,"[""51.00087225978099"", ""3.8614140518796978""]"
Acaciastraat,"[""51.0010856667984"", ""3.8902253701131526""]"
Achttien augustuslaan,"[""51.005837311163305"", ""3.89687884596256""]"
Adolf Papeleustraat,"[""50.989217116651936"", ""3.9044560545751943""]"
Autosnelweg E 40,"[""FOUT, geen straat gevonden""]"
Baerdonckstraat,"[""51.01282715"", ""3.8834279""]"
Baeveweg,"[""50.9897816"", ""3.9070735""]"
Bastenakkers,"[""51.00212049110228"", ""3.845503744045112""]"
Beekstraat,"[""51.0021312"", ""3.8755666""]"
Begijnestraat,"[""50.97363237432949"", ""3.8467824574967957""]"
Begijneweidestraat,"[""51.004290678297664"", ""3.874834907275144""]"
Beirstoppellos,"[""51.01245169898288"", ""3.873119391047547""]"
Belindekapellestraat,"[""51.02618353048937"", ""3.885649263248367""]"
Bellevoorde,"[""51.017797707681446"", ""3.84603855620188""]"
Beukendreef,"[""51.00949923791492"", ""3.899996881298327""]"
Biezen,"[""50.98824029406137"", ""3.8383233344900574""]"
Biezeweg,"[""50.99020305705126"", ""3.8409733097723535""]"
Binnenkouter,"[""50.9702384"", ""3.8644793""]"
Blauwe Paal,"[""50.9863834"", ""3.8526135""]"
Blekerijstraat,"[""51.00027121531051"", ""3.8669266038080083""]"
Bloemluststraat,"[""50.99853347724743"", ""3.876023163263906""]"
Bochten,"[""51.01701780483338"", ""3.8659484516117746""]"
Boekakker,"[""50.99866441688091"", ""3.8617538383262144""]"
Boergondisch Kruis,"[""FOUT, geen straat gevonden""]"
Bommelsrede,"[""51.00402486680099"", ""3.833489295925532""]"
Bookmolenstraat,"[""51.00541385934231"", ""3.887221403253795""]"
Boomkwekerijstraat,"[""51.00069489683672"", ""3.888386903503483""]"
Bosveldstraat,"[""50.98609414037543"", ""3.891198793800814""]"
Bovenboekakker,"[""50.99867135141102"", ""3.8645554422887844""]"
Braakakker,"[""51.01235903469237"", ""3.857853956380497""]"
Braektestraat,"[""50.98078605352489"", ""3.909446494624403""]"
Broekstraat,"[""50.9751548323952"", ""3.8589692237491318""]"
Brugstraat,"[""51.007586332127005"", ""3.8819412543931615""]"
Brusselsesteenweg,"[""50.99013275"", ""3.8329599""]"
Cederdreef,"[""51.01491922710296"", ""3.8768761636984705""]"
Collegiebaan,"[""51.006137649440085"", ""3.8901226203356143""]"
