Straat,Coordinaten
't Hoveke,"[""50.85301105563764"", ""3.206926496210172""]"
't Vrije,"[""50.83316533939022"", ""3.1580559148224983""]"
11 Julistraat,"[""50.819407999999996"", ""3.181282""]"
Aardappelhoek,"[""50.835278700607404"", ""3.1880855261180905""]"
Abdijweg,"[""50.80195057327506"", ""3.181170557787407""]"
Acaciastraat,"[""50.80780670704692"", ""3.183947059265157""]"
Akkerwindestraat,"[""50.80509694746583"", ""3.158564094526818""]"
Albertstraat,"[""50.81246135"", ""3.18905005""]"
Albrecht Rodenbachlaan,"[""50.83670102629207"", ""3.203423734623559""]"
Ambachtenlaan,"[""50.852232199999996"", ""3.1768714""]"
Architect Vanhoornelaan,"[""50.83397842885894"", ""3.166366295732899""]"
Artoisstraat,"[""50.80302425639271"", ""3.1785173172559977""]"
Augustina Peutermanstraat,"[""50.80324574668359"", ""3.1844677194726314""]"
Ballingbos,"[""50.85320828713062"", ""3.1895780129400166""]"
Ballingstraat,"[""50.85283917477646"", ""3.1876616092227854""]"
Ballokstraat,"[""50.84115246390093"", ""3.1503605028149524""]"
Bankbeekstraat,"[""50.845681170798656"", ""3.2004928907197994""]"
Bankstraat,"[""50.84419636047661"", ""3.203334280368583""]"
Beekstraat,"[""50.844447349999996"", ""3.2109686""]"
Begoniastraat,"[""50.81531849709744"", ""3.171099728490937""]"
Bergelen,"[""50.83565118734835"", ""3.1948417464380277""]"
Berkenlaan,"[""50.844943590164505"", ""3.1666896268847555""]"
Beukenstraat,"[""50.8168373"", ""3.1704663""]"
Bieststraat,"[""50.8188243"", ""3.1886997""]"
Bilgenboom,"[""50.8365307"", ""3.19739195""]"
Binnenhof,"[""50.844741094689184"", ""3.211537285231075""]"
Bissegemstraat,"[""50.83957206460068"", ""3.2085696047134715""]"
Blauwbloemstraat,"[""50.80700840791834"", ""3.1564198477340066""]"
Boekhoutdreef,"[""50.83249887193282"", ""3.2032492453343173""]"
Bosbolletra,"[""50.85478919175605"", ""3.2000759805643098""]"
Boudewijnstraat,"[""50.82113242512898"", ""3.1718217701374525""]"
Bouwstraat,"[""50.842441650000005"", ""3.20596715""]"
Bromdries,"[""50.84205543325628"", ""3.1715099595084406""]"
Brouwerijstraat,"[""50.8043568"", ""3.1660406""]"
Brugstraat,"[""50.81069238187068"", ""3.185697200567787""]"
Burgemeester Lesaffrestraat,"[""50.836216711216885"", ""3.1588881857138076""]"
Burgemeester Pareitlaan,"[""50.842608999999996"", ""3.16700005""]"
Burgemeester Ponseelelaan,"[""50.837360649268234"", ""3.2019399556700483""]"
Caesar Gezellestraat,"[""50.83973851272044"", ""3.165971835904871""]"
Cannaertbos,"[""50.84897937116045"", ""3.166055024672797""]"
Canteclaerstraat,"[""50.84553462385298"", ""3.1651317792758396""]"
Cederstraat,"[""50.80946962344107"", ""3.1671751134803428""]"
Clerck's straat,"[""50.84496605688682"", ""3.159153259677463""]"
Constant Permekestraat,"[""50.818924949999996"", ""3.1861936""]"
Constant Vansteenkistestraat,"[""50.822257338890154"", ""3.18403458226317""]"
Cultuurpad,"[""50.80589760843879"", ""3.184643098658171""]"
Cyriel Buysselaan,"[""50.83859551387651"", ""3.2048713618590696""]"
Daalstraat,"[""50.86049956811623"", ""3.198579152187239""]"
Dadizelestraat,"[""50.83958994175711"", ""3.143048934095791""]"
Damberdstraat,"[""50.83954734193197"", ""3.162856780871558""]"
De Knok,"[""50.847123795038115"", ""3.219796292699159""]"
De Linde,"[""50.8377613044493"", ""3.1747625981289844""]"
De Vlasvink,"[""50.8233148632771"", ""3.1796393463613986""]"
De Voetweg,"[""50.836944118598886"", ""3.200796844601549""]"
De Wandeling,"[""50.83791305"", ""3.21390675""]"
De Wegwijzer,"[""50.836529150000004"", ""3.1950037406614373""]"
De Westakker,"[""50.848839711949466"", ""3.1998193049801205""]"
Deken Jonckheerestraat,"[""50.80726692212703"", ""3.184131614523936""]"
Dennenstraat,"[""50.8138239"", ""3.17284085""]"
Dokter Hemerijckxlaan,"[""50.834369393790325"", ""3.162377884827502""]"
Dorpsplein,"[""50.84345072804087"", ""3.204500352081599""]"
Dreef Ter Elst,"[""50.84184926078663"", ""3.2096574889542233""]"
Dreef Ter Walle,"[""50.836623742111406"", ""3.217036473283495""]"
Dreef Ter Winkel,"[""50.844565700000004"", ""3.2086718""]"
