Straat,Coordinaten
's Gravenwezelsteenweg,"[""51.23331573712799"", ""4.534614484952561""]"
Acacialaan,"[""51.22620494079265"", ""4.521972605256593""]"
Albertkanaalbaan,"[""51.234342354543905"", ""4.516183741554429""]"
Albrecht Rodenbachlaan,"[""51.222099119718365"", ""4.505906683256465""]"
Azalealaan,"[""51.228075983945466"", ""4.514312265689457""]"
Baron de Grubenlaan,"[""51.23504616244494"", ""4.500828337569276""]"
Begonialaan,"[""51.227563527380795"", ""4.51650859381981""]"
Bergenstraat,"[""51.2289946"", ""4.5140874""]"
Beukenlaan,"[""51.231357949999996"", ""4.514517000000001""]"
Bijkhoevelaan,"[""51.23102353019457"", ""4.494600949040181""]"
Bijlweg,"[""51.22479560178608"", ""4.510046699239428""]"
Blikstraat,"[""51.232004849999996"", ""4.5041209""]"
Boskantweg,"[""51.22869696116187"", ""4.52309675762486""]"
Broekstraat,"[""51.23931863347346"", ""4.533852148037866""]"
Brouwerslaan,"[""51.22551199261475"", ""4.517749547209024""]"
De Reep,"[""51.2254138"", ""4.5160804500000005""]"
De Wijngaardstraat,"[""51.22895699790035"", ""4.509734871587567""]"
Deurnesteenweg,"[""51.2362179"", ""4.48755575""]"
Dokter Vandeperrelaan,"[""51.22915343646203"", ""4.549258884506925""]"
Dorenboslaan,"[""51.220918"", ""4.50286195""]"
Driehoekstraat,"[""51.2273253741507"", ""4.517533200584732""]"
Eikenlaan,"[""51.22659853201683"", ""4.523674489688675""]"
Ertbruggestraat,"[""51.22772044651008"", ""4.4969857665116235""]"
Fortveldstraat,"[""51.22785407809678"", ""4.512365999006889""]"
Frans Van Schevensteenstraat,"[""51.22395768092792"", ""4.511840169863049""]"
Galgenstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Ganzenweg,"[""51.2302416"", ""4.508484""]"
Groenstraat,"[""51.23039342445025"", ""4.531623544035716""]"
Helenalei,"[""51.22805717132629"", ""4.54434394316115""]"
Henri Savenierslaan,"[""51.2249988568382"", ""4.538786295238539""]"
Het Loo,"[""51.22370615"", ""4.5120763""]"
Het Sas,"[""51.227902201925396"", ""4.536396034079678""]"
Hippolyte Meeùsstraat,"[""51.2263463"", ""4.542604000000001""]"
Hoevestraat,"[""51.2294336760961"", ""4.511028476560645""]"
Houtlaan,"[""51.233961550000004"", ""4.5156934500000006""]"
Industrielaan,"[""FOUT, straat in foute gemeente gevonden""]"
Jan Baptist Pittoorsstraat,"[""51.228300514104184"", ""4.509399831727968""]"
Jan Vlemincklaan,"[""51.22250971533667"", ""4.505708906411048""]"
Jozef Nauwelaertsstraat,"[""51.2228085487694"", ""4.510196335905248""]"
Kanaaldijk,"[""51.23616752272701"", ""4.507423311747714""]"
Kanaalstraat,"[""51.228721961522915"", ""4.528139337528548""]"
Karel Verbistpad,"[""51.22033088873821"", ""4.497145285191016""]"
Kasteellei,"[""51.22307500481675"", ""4.541525177260239""]"
Kerkhofstraat,"[""51.22978288596149"", ""4.52410428749""]"
Koolsveldlaan,"[""51.22097865"", ""4.50369665""]"
Korte Dreef,"[""FOUT, geen straat gevonden""]"
Kosterijstraat,"[""51.229114740315396"", ""4.526661721621198""]"
Kraaidijk,"[""51.229907"", ""4.5269624""]"
Krijgsbaan,"[""51.22120240522945"", ""4.4981479071391615""]"
Krommelei,"[""51.22001248380263"", ""4.502691107191451""]"
Lange Kruisweg,"[""51.2315471"", ""4.520537350000001""]"
Lazaretstraat,"[""51.22514034373981"", ""4.515955034865277""]"
