Straat,Coordinaten
4-Septemberlaan,"[""51.05423261632996"", ""4.3487216780037485""]"
Aaklaan,"[""51.039036789277965"", ""4.356228435373256""]"
Acacialei,"[""51.0629016"", ""4.3503951""]"
Adrien Dezaegerplein,"[""51.05122099933216"", ""4.349630049091492""]"
Akkerlaan,"[""51.046053970266584"", ""4.352041966110366""]"
Alfred De Taeyestraat,"[""51.050400107987436"", ""4.382905188918145""]"
Alida Peetersplein,"[""51.0593612"", ""4.367801241775586""]"
Antwerpsesteenweg,"[""51.08248431704335"", ""4.359672355812555""]"
Appeldonkstraat,"[""51.06897837580994"", ""4.35685605096596""]"
Appeldonkweg,"[""51.071020304856205"", ""4.353794176684814""]"
August Van Landeghemplein,"[""51.06045984460185"", ""4.360362328334692""]"
August Van Landeghemstraat,"[""51.063178859700976"", ""4.36182573707359""]"
Baeckelmansstraat,"[""51.03433426958056"", ""4.3570178894028455""]"
Baklaan,"[""51.0373914"", ""4.35553205""]"
Bedieningsweg,"[""51.047013750000005"", ""4.3956598""]"
Bedrijvenpark De Veert,"[""51.06718647444227"", ""4.352348676923343""]"
Beekstraat,"[""51.031216650000005"", ""4.3536026""]"
Beenhouwerstraat,"[""51.06135009168346"", ""4.406290996490973""]"
Begoniastraat,"[""51.050691739963945"", ""4.347666274046759""]"
Berkenlei,"[""51.06391631144319"", ""4.3523628606882845""]"
Bessemstraat,"[""51.02866208188513"", ""4.324234648401171""]"
Beukenlaan,"[""51.0513275"", ""4.347351""]"
Beurtschiplaan,"[""51.038807187955456"", ""4.35734957818635""]"
Bezelaerstraat,"[""51.05224154317555"", ""4.38116775920985""]"
Bezelaervelden,"[""51.05454444531085"", ""4.37594393638212""]"
Blaasveldstraat,"[""51.04294818021902"", ""4.375010728394059""]"
Blasiusstraat,"[""51.04902331315522"", ""4.383998851451577""]"
Bleeklaan,"[""51.05834933742632"", ""4.37555407274826""]"
Blijk,"[""FOUT, geen straat gevonden""]"
Boekweitstraat,"[""51.04581645766796"", ""4.356044786521281""]"
Boomsesteenweg,"[""51.066778248343"", ""4.35992321738808""]"
Bormstraat,"[""51.01712798077375"", ""4.352015973088049""]"
Bosbeeklaan,"[""51.03855605"", ""4.342298434893994""]"
Bosstraat,"[""51.05253786027442"", ""4.350703333978093""]"
Bosveld,"[""51.06873571516006"", ""4.407603513661175""]"
Brandstraat,"[""51.05746275"", ""4.3477198""]"
Brandweerplein,"[""51.062556150000006"", ""4.3541875""]"
Breendonkstraat,"[""51.04294903141758"", ""4.33499381710566""]"
Brielen,"[""51.03398198708752"", ""4.358658704752487""]"
Brigandstraat,"[""51.05843907747721"", ""4.368045787995328""]"
Broekstraat,"[""51.0579726590079"", ""4.37973844414298""]"
Broekweg,"[""FOUT, geen straat gevonden""]"
Brouwerijstraat,"[""51.055321763679565"", ""4.364618176415167""]"
Brownfieldlaan,"[""51.06736854365369"", ""4.347716270635899""]"
Bruelenhof,"[""51.0303568766315"", ""4.361415034237623""]"
Callaertstraat,"[""FOUT, geen straat gevonden""]"
Camille Huysmansstraat,"[""51.06122525"", ""4.35451225""]"
Captain Trippstraat,"[""51.05791969591377"", ""4.357908786373386""]"
Cederlaan,"[""51.05018178186274"", ""4.3448139907161165""]"
Ceresstraat,"[""51.0480517"", ""4.37989605""]"
Constant Broeckmeyerstraat,"[""51.05539225"", ""4.35330705""]"
Dahliastraat,"[""51.0488701"", ""4.3488535""]"
Denderlaan,"[""51.0605478"", ""4.3485239""]"
Dendermondsesteenweg,"[""51.05968067772874"", ""4.351401474415626""]"
Dennenstraat,"[""51.05852016937782"", ""4.355533519579077""]"
Dijlelaan,"[""51.06057937638011"", ""4.345420938696815""]"
Dokter Persoonslaan,"[""51.060009574898984"", ""4.360388185716165""]"
Doornstraat,"[""51.05865194816666"", ""4.354957055044878""]"
Dorpsplein,"[""51.06699905161038"", ""4.407089402870075""]"
Dorpsstraat,"[""51.05612931583837"", ""4.375523996453938""]"
Drafstraat,"[""51.05246164659006"", ""4.368522049947669""]"
Dreef,"[""51.03191927165196"", ""4.331105229537706""]"
Driebunderweg,"[""51.054345374737785"", ""4.373976714428276""]"
Driesblokstraat,"[""51.05410895"", ""4.36958755""]"
Durmelaan,"[""51.06135811230934"", ""4.349713498539963""]"
Dwarsdijk,"[""51.08053030000001"", ""4.3628864499999995""]"
Dwarsstraat,"[""51.05239752044623"", ""4.378510656623574""]"
Désiré Meeslaan,"[""51.054931338185305"", ""4.348723014262081""]"
Edmond Verheydenstraat,"[""51.07069123452199"", ""4.402691442911505""]"
Edmond de Grimbergheplein,"[""51.058244349999995"", ""4.364659052499416""]"
Eduard Anseelestraat,"[""51.06540846644924"", ""4.352229960130255""]"
Eendrachtstraat,"[""51.0588937"", ""4.358315""]"
Eggestraat,"[""51.046677900653165"", ""4.356347538816188""]"
Egmont en Hoornestraat,"[""51.06240543003007"", ""4.357249673372893""]"
Eikstraat,"[""51.05901782602797"", ""4.355328194105311""]"
Elleboogstraat,"[""51.047038174652286"", ""4.382706513925148""]"
Emiel Vanderveldestraat,"[""51.063794545241244"", ""4.344257232419858""]"
Emmanuel Rollierstraat,"[""51.05783519131671"", ""4.365374341552824""]"
Europalaan,"[""51.05172879271026"", ""4.34539872635128""]"
Fabrieksstraat,"[""51.06181063322341"", ""4.364399818439835""]"
Floridastraat,"[""51.058656312962434"", ""4.361334854225472""]"
Fonteinstraat,"[""51.057787592048975"", ""4.3834473947745005""]"
Fortlaan,"[""51.05660857711172"", ""4.347988092097004""]"
Gansdijk,"[""51.07314286860999"", ""4.36039789650517""]"
Gaston Fromontstraat,"[""51.06371892873509"", ""4.355729353516563""]"
Geerhoek,"[""51.047213325340365"", ""4.378484984554397""]"
Gerststraat,"[""51.05421195"", ""4.3643384""]"
Geuzenstraat,"[""51.06162635592909"", ""4.3577539378472245""]"
Gezondheidsstraat,"[""51.0550307"", ""4.36087355""]"
Gieterijstraat,"[""51.06037146725347"", ""4.367733751817594""]"
Glooistraat,"[""51.06272927773328"", ""4.3431325714161515""]"
Gorrebroek,"[""51.06945675015326"", ""4.357857534755123""]"
Graanstraat,"[""51.05470965000001"", ""4.36517665""]"
Groene Laan,"[""51.063262379928055"", ""4.363729799920253""]"
Grote Bergen,"[""51.067303364054155"", ""4.396805729626174""]"
Guido Gezellestraat,"[""51.06580692887357"", ""4.358807667649673""]"
Gulden Vliesstraat,"[""51.06224470123666"", ""4.3560723038113265""]"
Haakstraat,"[""51.0533261951826"", ""4.379667431274425""]"
Hamerdijk,"[""51.072543299992944"", ""4.39942831542422""]"
Hazewinkelstraat,"[""51.067582196943604"", ""4.400695507742229""]"
Heidestraat,"[""FOUT, geen straat gevonden""]"
Heihoek,"[""FOUT, straat in foute gemeente gevonden""]"
Heindonksesteenweg,"[""51.060260416352946"", ""4.4077608068507015""]"
Heindonkstraat,"[""51.080040805186066"", ""4.367647650435442""]"
Heirstraat,"[""51.046613106047566"", ""4.394770618494604""]"
Hekelstraat,"[""51.034184450000005"", ""4.3474381""]"
Herman De Cuyperstraat,"[""51.048397873622456"", ""4.382513402572946""]"
Herman Vosstraat,"[""51.0636981"", ""4.3537794""]"
Hertveldstraat,"[""51.03333002835484"", ""4.35593203952498""]"
Het Broek,"[""51.056063064349765"", ""4.38647837798347""]"
Hinxelaar,"[""51.052562445226265"", ""4.374180979173949""]"
Hoeikensstraat,"[""51.0726057"", ""4.3481622""]"
Hoevestraat,"[""51.04793905"", ""4.35334135""]"
Hoge Heide,"[""51.06437439576667"", ""4.353096161109052""]"
Hoge Weg,"[""51.06782175531402"", ""4.405963826936629""]"
Hoofd,"[""51.08153372617246"", ""4.366117726721591""]"
Hoogstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Hooiveld,"[""51.04698574127059"", ""4.354941363120147""]"
Hopstraat,"[""51.05349998113736"", ""4.369148260962693""]"
Houtberg,"[""51.058803749999996"", ""4.3728234""]"
Ijzerenwegstraat,"[""51.066275455514486"", ""4.356658735097714""]"
Industriestraat,"[""51.06019080827597"", ""4.365828275613989""]"
Isabella Van den Bogaertstraat,"[""51.05757737670551"", ""4.374811006929652""]"
Jan Hammeneckerlaan,"[""51.034108089522"", ""4.361647976068592""]"
Jan Helmanstraat,"[""51.062598274666655"", ""4.358220411970697""]"
Jan Neutjensstraat,"[""51.057633185080554"", ""4.375480195934217""]"
Jan Willemstraat,"[""51.04997084825988"", ""4.385694012751777""]"
Jozef De Blockstraat,"[""51.04215438502163"", ""4.357598733463936""]"
Jozef Wautersstraat,"[""51.06416390808409"", ""4.3540082526315365""]"
Jupiterstraat,"[""FOUT, geen straat gevonden""]"
Kalanderlaan,"[""51.0582550438975"", ""4.37701079381554""]"
Kalkberg,"[""51.058404"", ""4.37308555""]"
Kanunnik Arthur Boonstraat,"[""51.05759369754808"", ""4.372198903852973""]"
Kapellenboslaan,"[""51.0584102629648"", ""4.3567361099538635""]"
Kapelstraat,"[""51.05285421142408"", ""4.3562973071537545""]"
Kardinaal Cardijnlaan,"[""51.033021707813276"", ""4.3537192997785805""]"
Karreveld,"[""51.04863415"", ""4.3536319500000005""]"
Kasteel,"[""51.053131220639585"", ""4.389600956123902""]"
Kasteeldreef,"[""51.05076080241833"", ""4.391829215655643""]"
Kasteellaan,"[""51.05010423109042"", ""4.343254097160176""]"
Kasteelstraat,"[""51.05503759614544"", ""4.379123108541879""]"
Kattestraat,"[""51.05201657970202"", ""4.371519226686536""]"
Kebbinglei,"[""51.05743411494172"", ""4.3733195097444195""]"
Keefstraat,"[""51.05409180634301"", ""4.373102677509038""]"
Keizerstraat,"[""51.055138623464"", ""4.373732880609581""]"
Kerkhoflaan,"[""51.03229881065154"", ""4.36274187924926""]"
Kerkplein,"[""51.03414592552045"", ""4.35859928257562""]"
Kerkstraat,"[""51.06478404254779"", ""4.35980646184811""]"
Kerkweg,"[""51.068941879388646"", ""4.397259041404364""]"
Kersdonk,"[""51.0253569"", ""4.3558527""]"
Kerselaarlaan,"[""51.068382016781925"", ""4.404990856838925""]"
Kievitstraat,"[""51.060695790476416"", ""4.409862122218208""]"
Klaterstraat,"[""51.044825762994186"", ""4.384394365317387""]"
Klaverweide,"[""51.04796883976907"", ""4.356441890123522""]"
Kleine Bergen,"[""51.0729341500236"", ""4.41822701430346""]"
Kleine Heide,"[""51.049010552211875"", ""4.396741519768965""]"
Kloddemansveldweg,"[""FOUT, geen straat gevonden""]"
Kloosterstraat,"[""51.062645575426075"", ""4.361623376888812""]"
Koning Boudewijnlaan,"[""51.04147760789212"", ""4.373220933323791""]"
Koning Leopoldlaan,"[""FOUT, geen straat gevonden""]"
Koningin Astridlaan,"[""FOUT, geen straat gevonden""]"
Korenstraat,"[""51.05402885"", ""4.3654465""]"
Korte Straat,"[""51.03259613961362"", ""4.362488454645698""]"
Kotterlaan,"[""51.035361249999994"", ""4.356108450000001""]"
Kraag,"[""51.067888592669746"", ""4.361631135809951""]"
Kraagweg,"[""51.067888592669746"", ""4.361631135809951""]"
Krekelenberg,"[""51.0466051537199"", ""4.380060403091662""]"
Kreweg,"[""51.06598923065092"", ""4.342901434769208""]"
