Straat,Coordinaten
't Hof van Wingene,"[51.05906276162678, 3.269697824172128]"
A. Rodenbachstraat,"[51.041892250000004, 3.399197]"
Aalterstraat,"[51.043925, 3.4019905]"
Aaltervoetweg,"[51.06141895475167, 3.4146870067836588]"
Abeelstraat,"[51.04959688982697, 3.3807749597956147]"
Akkerstraat,"[51.04374157513086, 3.2395962555040847]"
Akkerweg,"[51.04303797907868, 3.393018257383111]"
Ambachtstraat,"[51.048335802281485, 3.238523453314616]"
Aspergemstraat,"[51.026583099999996, 3.1846851999999997]"
Axpoelmolenstraat,"[51.05648312223982, 3.4069628191982693]"
Balgerhoekstraat,"[51.06262965311251, 3.315906392264736]"
Bambruggestraat,"[51.05459458470298, 3.415456130447387]"
Barbierstraat,"[51.046502261760786, 3.2296084869358905]"
Baron de Boesinghestraat,"[51.03450075, 3.2059994]"
Baron van der Bruggenlaan,"[51.081078532542676, 3.3047729939104964]"
Bedelfstraat,"[51.071017771174546, 3.293167466969579]"
Beelaertstraat,"[51.07283785, 3.25710835]"
Beernemsteenweg,"[51.10047290014799, 3.311967165919616]"
Beernemstraat,"[51.06106962637603, 3.2766859184832478]"
Beerweg,"[51.05752877365949, 3.305925126836093]"
Behaegelstraat,"[51.03997403564896, 3.190950407656258]"
Belgiëlaan,"[51.05118413563894, 3.228861820050309]"
Berkenlaan,"[51.035956850000005, 3.2183875000000004]"
Berkenstraat,"[51.04052515, 3.3893482]"
Bertstraat,"[51.05091988231956, 3.2575655441514257]"
Beukendreef,"[51.08141029012766, 3.329320247368546]"
Beukenlaan,"[51.03603791170936, 3.2175824795216976]"
Blauwe-Reigerlaan,"[51.0541191, 3.2701076000000002]"
Blauwhuisstraat,"[51.0905329, 3.3094273000000003]"
Blekreke,"[51.05985962858435, 3.283109363669248]"
Blindestraat,"[51.04135932487739, 3.1983717946332924]"
Boekhoutstraat,"[""FOUT, geen straat gevonden""]"
Boekweitlaan,"[51.05485759958551, 3.2686230535118503]"
Bosbessendreef,"[51.09720109966299, 3.291360675773301]"
Bosdreef,"[51.098271823438594, 3.330489658872667]"
Boskapeldreef,"[51.089797149999995, 3.30911415]"
Bosveldstraat,"[51.0658477, 3.2148020500000003]"
Boterstraat,"[51.05213755, 3.23194435]"
Brandstraat,"[51.07013780186534, 3.3540260705074196]"
Bredenbarm,"[51.0535431697665, 3.189337034329418]"
Bremdreef,"[51.096564799999996, 3.29373735]"
Breughellaan,"[51.0562517084592, 3.266938219144219]"
Brokkelingstraat,"[51.03950656211622, 3.2253575978450337]"
Brouwerijstraat,"[51.055776875651375, 3.27406310429139]"
Bruggesteenweg,"[51.08776412600664, 3.3419033312150894]"
Bruggestraat,"[51.0433076, 3.3909554]"
Brugsesteenweg,"[51.063488954751186, 3.224512146887726]"
Bruwaanstraat,"[51.06976471146418, 3.3858671769261304]"
Bruwaenestraat,"[51.045160387690224, 3.272206054947563]"
Buisstraat,"[51.04623421834274, 3.4066935386728043]"
Bundingstraat,"[51.02957755004378, 3.4103720396403987]"
Cauwenteynestraat,"[51.0390502019305, 3.185865009407595]"
Cyriel Verhaegheplein,"[51.04349155, 3.40757085]"
De Ast,"[51.0556159, 3.280458]"
De Gruyterdreef,"[51.079553149999995, 3.31685445]"
De Schakel,"[51.06311969564465, 3.2876550196807774]"
Den Tap,"[51.0426695, 3.3990709]"
Diksmuidse-Boterweg,"[51.0563675028175, 3.362598908747994]"
Doornstraat,"[51.070776145161304, 3.2572167868068354]"
Driekavenstraat,"[51.04450365698622, 3.205971475674712]"
Eekhoutstraat,"[51.03749155, 3.3993229]"
Egemsestraat,"[51.056902303657715, 3.273219820692764]"
Eikendreef,"[51.07368945, 3.3047677]"
Eikenhof,"[51.035899799999996, 3.21685955]"
Eikenstraat,"[51.0573352924525, 3.285264817110755]"
Europalaan,"[51.05424861652958, 3.2816281381835215]"
Eyerstraat,"[51.041367449999996, 3.3941065000000004]"
Fazantendreef,"[51.0989, 3.31149]"
Flandria,"[51.0630592, 3.3787805823544046]"
Fonteinlaan,"[51.055051150000004, 3.26967675]"
Futselstraat,"[51.05910611743281, 3.2776154507082023]"
G. Gezellelaan,"[51.04091114105215, 3.3968055995866324]"
Galgenstraat,"[51.05758833246851, 3.2747419706445027]"
Gallatasstraat,"[51.06357275761766, 3.3805540285374955]"
Gemeenteplein,"[51.05704726226256, 3.276609464020395]"
Gemenestraat,"[51.03141420099421, 3.184696461140322]"
Gentse Veldstraat,"[51.07829095097588, 3.3575451146659705]"
Gevaertstraat,"[51.04436323685831, 3.2579805153107873]"
Gravestraat,"[51.0768656, 3.279507]"
Grensstraat,"[51.0451864, 3.439529]"
Grietjensgalgestraat,"[51.04477507544862, 3.353746815486584]"
Groene-Sprietstraat,"[51.049734247142865, 3.3702905688810625]"
Groenestraat,"[51.03466762133998, 3.394677009698048]"
Groeneweg,"[51.036004952372075, 3.39053291017312]"
Guido Gezelleplein,"[51.05796199518323, 3.2788455493810913]"
Guido Gezellestraat,"[51.058093205770966, 3.2797582802948138]"
Guldensporenstraat,"[51.04883001487928, 3.2228054039200327]"
HOOGGOED,"[""FOUT, straat in foute gemeente gevonden""]"
Haantjesstraat,"[51.06435883377103, 3.3693289954325225]"
Hamerstraat,"[51.065120598074465, 3.349170761513366]"
Hazelnotedreef,"[""FOUT, geen straat gevonden""]"
Hazeweg,"[51.07287855, 3.3123012999999997]"
Hazewindstraat,"[51.0382997849641, 3.175274450073164]"
Heilig Sacramentstraat,"[51.05679246415564, 3.2841759384227673]"
Hekkestraat,"[51.06480623477586, 3.3340243535458636]"
Helakkerstraat,"[51.05198201270234, 3.269535297409404]"
Hellestraat,"[51.03443248621853, 3.1996306033024067]"
Heremeersstraat,"[51.06712238247967, 3.2513276345609863]"
Hereveldstraat,"[51.07005140220128, 3.247611622479203]"
Herreweg,"[51.03263941608167, 3.1827883135812494]"
Hertsbergeveldstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Heulstraat,"[51.04787041447093, 3.224193901479779]"
Hille,"[51.048258, 3.2276607]"
Hille-Noord,"[51.04924112745771, 3.232084568116295]"
Hille-Zuid,"[51.045855757712225, 3.2341789968386734]"
Hillesteenweg,"[51.05439949057082, 3.2554692372512806]"
Hof Landuyt,"[51.063974621963695, 3.276571218460309]"
Hofakkerlaan,"[51.0558773706484, 3.271013119825439]"
Hommelstraat,"[51.040401287195714, 3.220764901839723]"
Hondsweg,"[51.05485414926457, 3.2467114295411625]"
Hoogstraat,"[51.04963003026811, 3.1820751826481257]"
Hoogweg,"[51.06376154438999, 3.2865644616358574]"
Hovenierstraat,"[51.046074680050026, 3.2299598225088713]"
Huisakkerstraat,"[51.04898623788527, 3.3068352292253973]"
Industriestraat,"[51.04513384083559, 3.4091127783067896]"
Industrieweg,"[51.04553535629865, 3.229721814036031]"
Jan Breydellaan,"[51.04646607015467, 3.2238340451887626]"
Jasmijnstraat,"[51.04149470319867, 3.4071897163371134]"
Joostraat,"[51.022179671744716, 3.2246480033871765]"
Kanegemstraat,"[51.03375492196955, 3.394357307663973]"
Kapelledreef,"[51.06469952206151, 3.2171082296162887]"
Kapellestraat,"[51.038201141824274, 3.397087799449053]"
Kaplotestraat,"[51.05895760339506, 3.2798878696781584]"
Karnemelkstraat,"[51.05303489293377, 3.227474722996862]"
Kastanjelaan,"[51.03499615687818, 3.2176997061769175]"
Kasteeldreef,"[51.085046556111195, 3.2839770627283333]"
Kasteelstraat,"[51.04113850333311, 3.3968800195849123]"
Keizerstraat,"[51.055948540832226, 3.2770747297726657]"
Kerkplein,"[51.05807698313242, 3.2777897662081323]"
Kerkstraat,"[51.036368522344006, 3.211487862845089]"
Keukelstraat,"[51.06091302523138, 3.3203125460615275]"
Klaphullestraat,"[51.06106864179511, 3.3864471195240586]"
Kleine Meiboomstraat,"[51.021043953775916, 3.185078250941778]"
Kleine Tieltstraat,"[51.039150791651224, 3.314014646156227]"
Kleine Veldstraat,"[51.060027119444264, 3.3257256759139753]"
Kleistraat,"[""FOUT, straat in foute gemeente gevonden""]"
Kleiweg,"[51.05619235080131, 3.340524959233876]"
Klokhof,"[51.0541769, 3.2850228]"
Knokstraat,"[51.045363014691176, 3.3854466962951784]"
Knotwilgenstraat,"[51.04120071357605, 3.390603390262457]"
Koeivoet,"[51.0618586, 3.2806668500000002]"
Koekoekslaan,"[51.05362239349107, 3.267633659403917]"
Kokerstraat,"[51.05304080964491, 3.2745841782795213]"
Kolonel Dobbelaerestraat,"[51.05551437803665, 3.2787629596350114]"
Koning Boudewijnlaan,"[51.05521538775596, 3.28140113797878]"
Koningin Fabiolalaan,"[51.055151756782514, 3.2822025866578945]"
Koolskampstraat,"[51.02660599901565, 3.208787306283681]"
Koolstraat,"[51.064964532301644, 3.2848455017595044]"
Kortekeer,"[51.050207076087446, 3.356069150304309]"
Kortrijksteenweg,"[51.034567028335516, 3.2297260190608994]"
Kortstraat,"[51.0569, 3.32215]"
Kouterweg,"[51.03335695410655, 3.410371551694097]"
Kozijnhoekstraat,"[51.06355687153545, 3.2777375202603185]"
Kraaienbroekdreef,"[51.051957073321795, 3.4021379938965235]"
Krasnikstraat,"[51.04418316243957, 3.4055802765984207]"
Krekelstraat,"[51.03830063486065, 3.219607020297897]"
Krommekeerstraat,"[51.08354820919781, 3.370123041859021]"
Krommestraat,"[51.041639672712506, 3.250399707620086]"
Krommewalstraat,"[51.06167216506673, 3.2793030254402558]"
Kruisbergstraat,"[51.071851441495724, 3.3860128053417125]"
Kruiskerkestraat,"[51.071848448865985, 3.3910718590103297]"
Kruisstraat,"[51.03741228702109, 3.212725021543197]"
Kruiswegestraat,"[51.04003961397763, 3.3852524197167435]"
Lammersdam,"[51.0674031, 3.3329901]"
Landakkermolenvoetweg,"[51.05067584725321, 3.266874887383674]"
Landsmanstraat,"[51.05836845396241, 3.2198508050381314]"
Landweg,"[""FOUT, straat in foute gemeente gevonden""]"
Laurierstraat,"[51.038787567606676, 3.211926705856848]"
Lavoordestraat,"[51.070985062646535, 3.255235525590532]"
Leendreef,"[51.067136680238335, 3.3129720200863404]"
Leenmolenstraat,"[51.07207736894988, 3.268097318183669]"
Leenzerkstraat,"[51.06775495229294, 3.265998155271066]"
Leeuweriklaan,"[51.05235300119446, 3.267393863786558]"
Lentakkerlaan,"[51.05428405, 3.2688957]"
Lentakkervoetweg,"[51.054558099999994, 3.2682314999999997]"
Lichterveldestraat,"[51.036134182312786, 3.21040250125911]"
Lijkstraat,"[51.04709447634871, 3.301673350042089]"
Lijsterlaan,"[51.05248676687328, 3.2658444204734893]"
Lindeboomstraat,"[51.03060309331963, 3.191011266565372]"
Lindenstraat,"[51.040075689012475, 3.3885541435847855]"
Looierijstraat,"[51.052748271813606, 3.275658505807181]"
Lostraat,"[51.0598126991029, 3.235362214366671]"
Maagdenstraat,"[51.068039295914296, 3.295969039902531]"
Madeliefstraat,"[51.042410000000004, 3.4074542]"
Majesticstraat,"[51.039451341788485, 3.396804979088565]"
Margrietstraat,"[51.04226225, 3.4058448500000003]"
Maria-Aalterstraat,"[51.08423574433377, 3.3545684653485073]"
Markt,"[51.0420037, 3.3975918]"
Marktplein,"[51.03602285, 3.2108093]"
Meiboomstraat,"[51.01929921244381, 3.182423262897637]"
Meikeverstraat,"[51.040523364025496, 3.2201872344627716]"
Merellaan,"[51.05241605, 3.2686632500000004]"
