Straat,Coordinaten
Abdijstraat,"[""50.82471719365079"", ""3.563778980964437""]"
Anzegemseweg,"[""50.85186427940407"", ""3.5106035488457534""]"
Bavegemstraat,"[""50.859313478373124"", ""3.557779770072927""]"
Beekstraat,"[""50.817828397272706"", ""3.5302939938807203""]"
Beerstraat,"[""50.83699696641379"", ""3.568077203900639""]"
Bergstraat,"[""50.83847104881985"", ""3.5356036836068663""]"
Biesbosstraat,"[""50.83980773250237"", ""3.550628231403031""]"
Biesvijverstraat,"[""50.836963615715774"", ""3.5506382812270028""]"
Bijengoed,"[""50.85280350813578"", ""3.5169659094610766""]"
Blaarhoek,"[""50.83065546447969"", ""3.513061429551435""]"
Boeregemstraat,"[""50.862827174542524"", ""3.501440016650992""]"
Boomzagerijstraat,"[""50.855286164581194"", ""3.504593812579773""]"
Boskant,"[""50.83320182886324"", ""3.5153771216954106""]"
Bosstraat,"[""50.8407067168697"", ""3.504087057131003""]"
Bouvelostraat,"[""50.850268781786696"", ""3.493427275961688""]"
Broekstraat,"[""50.814866407847894"", ""3.5096445991759975""]"
Cauborrestraat,"[""50.85010403845996"", ""3.532192391678731""]"
Cijnskouter,"[""50.85255281110774"", ""3.514777890081601""]"
Clemmenstraat,"[""FOUT, geen straat gevonden""]"
Deinzestraat,"[""FOUT, straat in foute gemeente gevonden""]"
Dennenstraat,"[""50.87416193038176"", ""3.4578586208016198""]"
Diepestraat,"[""50.85754841184934"", ""3.5049890929449585""]"
Dombos,"[""50.87130633954956"", ""3.5450990248337595""]"
Doornstraat,"[""50.846864246107366"", ""3.5690174077859442""]"
Driesstraat,"[""50.83315040606718"", ""3.5359559679805574""]"
Eekhoutstraat,"[""50.839551900000004"", ""3.5621418""]"
Eeuwhoek,"[""50.807702649999996"", ""3.52065515""]"
Egaalstraat,"[""50.85628072187005"", ""3.4696073650556762""]"
Elsegemplein,"[""50.82324056678217"", ""3.5386046514388325""]"
Fabriekstraat,"[""50.85188156553754"", ""3.556424793116606""]"
GIJZELBRECHTEGEMSTRAAT,"[""50.82742055324569"", ""3.5002730581809973""]"
Galgestraat,"[""50.815351045889635"", ""3.514057412282489""]"
Gaverstraat,"[""50.874705502941225"", ""3.481144124039446""]"
Gotstraat,"[""50.85146127301793"", ""3.504425195149855""]"
Groenstraat,"[""50.847737677285544"", ""3.5144503291195544""]"
Hector Plancquaertstraat,"[""FOUT, geen straat gevonden""]"
Heerbaan,"[""50.846023625840644"", ""3.5474854713963486""]"
Heie,"[""50.84238675918384"", ""3.52025895565845""]"
Heuzelstraat,"[""50.86875528568931"", ""3.547558656638463""]"
Hulstehoekstraat,"[""50.863279568320365"", ""3.5419377169701276""]"
Kalverstraat,"[""50.87403442145206"", ""3.553613584540791""]"
Kapellestraat,"[""50.8747113263225"", ""3.4693162474352053""]"
Karmstraat,"[""50.874833022660646"", ""3.544268943586778""]"
Kastanjeplein,"[""50.831525872017544"", ""3.554257851936981""]"
Kasteelstraat,"[""50.86575811966217"", ""3.487924488775872""]"
Keerstraat,"[""50.85235931925883"", ""3.490706983705669""]"
Keistraat,"[""50.86223749377048"", ""3.5708633204718554""]"
Kerkkouterstraat,"[""50.86709142284784"", ""3.5592313138765634""]"
Killenbulk,"[""FOUT, geen straat gevonden""]"
Kleistraat,"[""50.859296644703285"", ""3.5127206733057994""]"
Kloosterdreef,"[""50.830309572746586"", ""3.5140033742832237""]"
Kloosterhoek,"[""50.826273613889505"", ""3.5246482656799247""]"
Koestraat,"[""50.85040754274391"", ""3.5719456598712243""]"
Kortrijkstraat,"[""50.83634572166775"", ""3.5694373236371915""]"
Kosterstraat,"[""FOUT, geen straat gevonden""]"
Kouter,"[""50.81854502965958"", ""3.519560931810195""]"
Kouterlos,"[""50.82317137886084"", ""3.5343614598383626""]"
Krauwelstraat,"[""50.83250554053624"", ""3.547850353218825""]"
Kruishoutemseweg,"[""50.8741888"", ""3.52422815""]"
Kwadenbulk,"[""50.82650413974847"", ""3.5065622630058377""]"
Langestraat,"[""50.82481958923198"", ""3.5042922083316226""]"
Lindestraat,"[""50.837531492849934"", ""3.556870162462856""]"
Losweg,"[""50.84449977123674"", ""3.5687372872837253""]"
Lozerstraat,"[""50.84236877754538"", ""3.5696242141122454""]"
Marktweg,"[""FOUT, geen straat gevonden""]"
Meersstraat,"[""50.83519848576249"", ""3.5714800430414386""]"
Meganckstraat,"[""50.83379571873893"", ""3.5247306705835517""]"
Meirhaegstraat,"[""50.87165367720148"", ""3.5340363362092395""]"
Merkegemhoek,"[""FOUT, geen straat gevonden""]"
Molenkouter,"[""50.83099173839683"", ""3.5558655083709487""]"
Moregemplein,"[""50.84939017379457"", ""3.5628238351396897""]"
Muurstraat,"[""50.82454876511063"", ""3.5644384961640747""]"
Nedermolen,"[""50.831133215455765"", ""3.556839188349197""]"
Nellekensweg,"[""50.83625157662059"", ""3.5580897400345104""]"
Nieuwstraat,"[""50.8622355738164"", ""3.4790027756771753""]"
Noordbos,"[""50.85782706767617"", ""3.483812920531238""]"
Ommegangstraat,"[""50.83307688784643"", ""3.557562168770459""]"
Ooikeplein,"[""50.86989315958"", ""3.5510703985077754""]"
Oude Pontweg,"[""50.84727626384034"", ""3.576294000037656""]"
Oudenaardseweg,"[""50.857215678441705"", ""3.5395122184595085""]"
Pareelstraat,"[""50.85564311466011"", ""3.542510047452404""]"
Peerdekouterstraat,"[""50.87087755994323"", ""3.4826303336628324""]"
Peeshoek,"[""50.82248279124234"", ""3.535692462176063""]"
Peperstraat,"[""50.85548213784339"", ""3.558032347020294""]"
Petegemplein,"[""50.83239653635517"", ""3.5570369806925966""]"
Pontstraat,"[""50.86813765503169"", ""3.478316179766565""]"
Processiestraat,"[""50.857187468686"", ""3.512545211336668""]"
Ridobel,"[""50.83468663684305"", ""3.5564377035047476""]"
Rijborgstraat,"[""50.86696254336257"", ""3.4786636283202035""]"
Rottestraat,"[""50.8598836"", ""3.5602907841463383""]"
Rozenhof,"[""50.83438363102073"", ""3.5609295246034027""]"
Scheldestraat,"[""50.82359163441519"", ""3.54784487799206""]"
Sint Amandusstraat,"[""50.86734020757061"", ""3.5577902611747683""]"
Sneppestraat,"[""50.835555"", ""3.5292301999999998""]"
Spitaalbosstraat,"[""FOUT, geen straat gevonden""]"
Spreeuwengoed,"[""50.85366713918654"", ""3.5178249338676335""]"
St. Martinusstraat,"[""50.83513083222802"", ""3.559621624861129""]"
Steenakkerstraat,"[""50.8616841475608"", ""3.503401508165166""]"
Stoofstraat,"[""50.86299141769861"", ""3.537262694084902""]"
Stuivenbergstraat,"[""50.867375410657566"", ""3.487555297997731""]"
Tjammelsstraat,"[""50.8587292678979"", ""3.4783107347070126""]"
Trompestraat,"[""50.864742758597075"", ""3.5656686288969306""]"
Tussenwegel,"[""FOUT, geen straat gevonden""]"
Twee Vlaanders,"[""50.82624595"", ""3.50456""]"
Vierschaar,"[""50.85410632344531"", ""3.5709869886817267""]"
Vijverhoek,"[""50.85833873079371"", ""3.4813977720924343""]"
Vlaamse Ardennenstraat,"[""50.86386667748886"", ""3.5532426124454197""]"
Vlinderstraat,"[""50.83660871228232"", ""3.567157841009563""]"
Volkaartsbeekstraat,"[""50.85260925"", ""3.56542375""]"
Vondelstraat,"[""50.85895910310081"", ""3.546630885512478""]"
Voskensstraat,"[""50.83623070281867"", ""3.5223803877014155""]"
Vrankaartstraat,"[""50.866073134586436"", ""3.5305387759795925""]"
Vrezeveld,"[""50.83664336438965"", ""3.5555544090801905""]"
Vrouweneikstraat,"[""50.85183467361086"", ""3.5142660601202524""]"
Waregemseweg,"[""50.85534621553708"", ""3.5019635693457256""]"
Wortegemplein,"[""50.851908783973336"", ""3.5104521101801387""]"
Zonnestraat,"[""50.85274816517569"", ""3.516078255102165""]"
Zwalmstraat,"[""50.82142292690448"", ""3.513952901805584""]"
