Straat,Coordinaten
Acaciadreef,"[""51.19309"", ""4.6917701""]"
Achterstraat,"[""51.1976183"", ""4.639276""]"
Amelbergastraat,"[""51.2157385"", ""4.6619647""]"
Antwerpsebaan,"[""51.2030749"", ""4.6437095""]"
Appellaan,"[""51.2093803"", ""4.6525136""]"
Arthur Verhoevenlaan,"[""51.2186058"", ""4.6693191""]"
Azalealaan,"[""51.1876707"", ""4.64389""]"
Bakkerijstraat,"[""51.227582"", ""4.6939254""]"
Beemdstraat,"[""51.1870821"", ""4.6490694""]"
Beemdweg,"[""51.2162862"", ""4.6992696""]"
Beggard,"[""51.2173544"", ""4.6616043""]"
Begijnenbos,"[""51.2050282"", ""4.6413797""]"
Berkemei,"[""51.2046532"", ""4.7176993""]"
Berkendreef,"[""51.1902318"", ""4.6816214""]"
Berkenlaan,"[""51.2348831"", ""4.6916368""]"
Bessenlaan,"[""51.2315826"", ""4.7089944""]"
Beukendreef,"[""51.1971236"", ""4.6858488""]"
Binnengeleg,"[""51.2203219"", ""4.6991645""]"
Binnenweg,"[""51.2025513"", ""4.6944293""]"
Bisschoppenbos,"[""51.2008505"", ""4.6475854""]"
Blauwhoef,"[""51.2043068"", ""4.6873214""]"
Bogaereweg,"[""51.2094559"", ""4.6475197""]"
Bollaar,"[""51.2058578"", ""4.7165216""]"
Boomgaardstraat,"[""51.2081786"", ""4.6482398""]"
Bosdreef,"[""51.1952187"", ""4.6853199""]"
Boshovensebaan,"[""51.2017129"", ""4.7155841""]"
Boshuisweg,"[""51.2407089"", ""4.6783356""]"
Boskant,"[""51.2341649"", ""4.7295439""]"
Boudewijnlaan,"[""51.2038611"", ""4.7127693""]"
Boutersemdreef,"[""51.2127843"", ""4.6652228""]"
Bruggestraat,"[""51.2128309"", ""4.6622566""]"
Cauwenberglei,"[""51.2072733"", ""4.7031073""]"
De Bergen,"[""51.2099264"", ""4.6563785""]"
De Linden,"[""51.2141357"", ""4.6623501""]"
De Stevens,"[""51.2192573"", ""4.6543928""]"
Dennendreef,"[""51.1954458"", ""4.6833693""]"
Dennenlaan,"[""51.1953339"", ""4.7067137""]"
Dijkstraat,"[""51.1926542"", ""4.6634968""]"
Disselbraak,"[""51.210565"", ""4.659324""]"
Dokter August Sniedersstraat,"[""51.2153492"", ""4.6592742""]"
Donck,"[""51.206972300000004"", ""4.666999176738734""]"
Dorp,"[""51.2142966"", ""4.6564245""]"
Dorpsstraat,"[""51.2042852"", ""4.7143747""]"
Douglaslaan,"[""51.2325736"", ""4.6882161""]"
Draaiboom,"[""51.2130463"", ""4.6900669""]"
Driehoekstraat,"[""51.2155302"", ""4.6654899""]"
Eikenlaan,"[""51.2171853"", ""4.6965287""]"
Eikenstraat,"[""51.1977619"", ""4.6407112""]"
Elzendreef,"[""51.19174"", ""4.6835895""]"
Elzenstraat,"[""51.2145526"", ""4.6971316""]"
Fatimalaan,"[""51.200922"", ""4.6987611""]"
Fazantenlaan,"[""51.2183328"", ""4.6984447""]"
Fonteinstraat,"[""51.20024"", ""4.7104711""]"
Fruithoflaan,"[""51.2075367"", ""4.6488096""]"
Galgeweg,"[""51.20781"", ""4.6529457""]"
Gebroken Loop,"[""51.2024897"", ""4.653411""]"
Germelaerstraat,"[""51.2013642"", ""4.7062395""]"
Goormansstraat,"[""51.2251634"", ""4.6765175""]"
Goudvinklaan,"[""51.2081012"", ""4.7219245""]"
Grasbaan,"[""51.2288318"", ""4.6937188""]"
Grensstraat,"[""51.1969581"", ""4.7146888""]"
Groeneweg,"[""51.1878854"", ""4.6494145""]"
