Straat,Coordinaten
's-Gravenveld,"[""50.85875089349389"", ""4.519530059616509""]"
A201,"[""50.8944443682097"", ""4.463015835372374""]"
Abelenlaan,"[""50.867084808952285"", ""4.47683961652819""]"
Acacialaan,"[""50.8610891"", ""4.446515552771408""]"
Acht Bundersstraat,"[""50.86416210437912"", ""4.522030080083432""]"
Akker,"[""50.8812068"", ""4.5138426""]"
Akkermuntstraat,"[""50.8755143"", ""4.4679839""]"
Akkerwindeweg,"[""50.85685995"", ""4.50202165""]"
Albert De Beusscherplein,"[""50.861903300894724"", ""4.514322626505699""]"
Alex Feldheimstraat,"[""50.888755365543254"", ""4.46692824826047""]"
Armendijlaan,"[""50.859702783468876"", ""4.500980493366441""]"
Astridlaan,"[""50.88982909389304"", ""4.464747925270851""]"
Availles-Limousinelaan,"[""50.86583047877388"", ""4.433124003743173""]"
Azalealaan,"[""50.884725608984006"", ""4.465844151054209""]"
Baesstraat,"[""50.87371512364529"", ""4.523148263405514""]"
Bareelstraat,"[""50.863797010456075"", ""4.441292613965445""]"
Baron Brugmann de Walzinplein,"[""50.844086"", ""4.5104796""]"
Baron de Boisschotlaan,"[""FOUT, geen straat gevonden""]"
Batticelaan,"[""50.86652256379094"", ""4.43431548107299""]"
Beekstraat,"[""50.857575787610294"", ""4.512964708593807""]"
Belgicastraat,"[""50.87775645"", ""4.4580147292052175""]"
Berkenhof,"[""50.866493060549054"", ""4.475135968480263""]"
Berreveldlaan,"[""50.86279975"", ""4.44172945""]"
Bevrijdingslaan,"[""50.863626534641234"", ""4.435370269903752""]"
Biesdreef,"[""50.85740465895124"", ""4.501983355961928""]"
Bisschop Van Gamerenlaan,"[""50.87413423706365"", ""4.483656902461754""]"
Blankenheimlaan,"[""50.86613893407054"", ""4.431804519607625""]"
Bloemenlaan,"[""50.857706050000004"", ""4.4991091""]"
Bloemenveld,"[""50.8756765"", ""4.4707429""]"
Boesbergstraat,"[""50.86280629485843"", ""4.503864489333462""]"
Boomgaard,"[""50.88009022312836"", ""4.5127128321085594""]"
Borrestraat,"[""50.870517727448416"", ""4.453566806936795""]"
Borreveldlaan,"[""50.88964255"", ""4.4741472""]"
Bosdellestraat,"[""50.86312627185986"", ""4.516697747888393""]"
Bosrankstraat,"[""50.87467868931542"", ""4.466996100268695""]"
Bosstraat,"[""50.892947535785844"", ""4.470642574912336""]"
Boterbloemlaan,"[""50.85821994125616"", ""4.503181005920446""]"
Bourgetlaan,"[""FOUT, geen straat gevonden""]"
Bremberg,"[""50.88298096457494"", ""4.50220692888818""]"
Brixtonlaan,"[""50.87109558665492"", ""4.5003052611851455""]"
Broekstraat,"[""50.87011024757284"", ""4.451983849873993""]"
Brugstraat,"[""50.888778001521224"", ""4.463162612495731""]"
Burchtstraat,"[""50.863935863747194"", ""4.512616138741561""]"
Burg. W. Servranckxplein,"[""FOUT, geen straat gevonden""]"
Burggrachtstraat,"[""50.878863325089874"", ""4.504586174981939""]"
Cammaertsstraat,"[""50.8621638468473"", ""4.516664479952562""]"
