Straat,Coordinaten
Aarschotsebaan,"[""50.9757481"", ""4.5009694""]"
Aarschotsevoetweg,"[""50.9741433"", ""4.4983361""]"
Achter de Melkerij,"[""50.9850879"", ""4.4687297""]"
Achterbroeken,"[""50.9759804"", ""4.4621759""]"
Albertlaan,"[""50.9744704"", ""4.5062744""]"
Ambroosdreef,"[""50.9946661"", ""4.5101011""]"
Ambroossteenweg,"[""50.9952051"", ""4.5131381""]"
Ambroosvoetweg,"[""50.993876"", ""4.512402""]"
Anjelierenstraat,"[""50.9639245"", ""4.5007672""]"
Arendvoetweg,"[""50.9866055"", ""4.4838453""]"
Armstraat,"[""50.9802061"", ""4.4598483""]"
Aspergevoetweg,"[""50.9901019"", ""4.4935073""]"
Aspergeweg,"[""50.9894471"", ""4.4929011""]"
Balkvoetweg,"[""50.9991869"", ""4.4961196""]"
Balkweg,"[""50.9977527"", ""4.491937135289655""]"
Barebeekstraat,"[""50.989983"", ""4.4895286""]"
Baron de Royedreef,"[""50.9617464"", ""4.4462368""]"
Bautelareweg,"[""50.981968"", ""4.449626""]"
Beekstraat,"[""50.9688042"", ""4.4460789""]"
Beekveldstraat,"[""50.9980487"", ""4.4394439""]"
Beekveldvoetweg,"[""51.0007188"", ""4.4431489""]"
Begijnhofstraat,"[""50.9684062"", ""4.4581621""]"
Begijnhofsvoetweg,"[""50.9638778"", ""4.5070822""]"
Bengerdvoetweg,"[""50.9908317"", ""4.4638559""]"
Bergstraat,"[""50.9720884"", ""4.472953""]"
Berkenstraat,"[""50.974268"", ""4.5000463""]"
Beukenhaagstraat,"[""50.9764279"", ""4.5013116""]"
Biesmansblokvoetweg,"[""50.9691103"", ""4.4718472""]"
Binnenbeekstraat,"[""50.9634599"", ""4.5049571""]"
Binnenbeekvoetweg,"[""50.964267"", ""4.508669""]"
Binnenweg,"[""50.972134"", ""4.4806819""]"
Bist,"[""50.9928171"", ""4.4533634""]"
Blauwenvoetweg,"[""50.9932852"", ""4.4384594""]"
Bleekveldsvoetweg,"[""50.9606701"", ""4.4348833""]"
Bloemenstraat,"[""50.9713987"", ""4.4732636""]"
Bloemenvoetweg,"[""50.9713197"", ""4.4725431""]"
Blokstraat,"[""50.9953871"", ""4.494142""]"
Bonekruidstraat,"[""50.9664702"", ""4.5047276""]"
Bonekruidvoetweg,"[""50.9661337"", ""4.50339""]"
Boomgaardstraat,"[""50.994044"", ""4.5114573""]"
Bordekensstraat,"[""50.9879509"", ""4.4941045""]"
Bornputstraat,"[""50.9630538"", ""4.494033""]"
Bos Van Aa,"[""50.9864092"", ""4.3913544""]"
Bos-van-Aavoetweg,"[""50.996445"", ""4.3913075""]"
Bos-van-Steenstraat,"[""50.9735196"", ""4.4238531""]"
Bos-van-Steenvoetweg,"[""50.9711579"", ""4.4175242""]"
Boschdreeftvoetweg,"[""51.0016517"", ""4.3855907""]"
Boskerkvoetweg,"[""50.9821276"", ""4.4585813""]"
Boskerkweg,"[""50.9824546"", ""4.4583535""]"
Bossenhoek,"[""50.9739"", ""4.4651196""]"
Bosstraat,"[""50.9765482"", ""4.4320975""]"
Bosvoetweg,"[""50.9705926"", ""4.5076504""]"
Boudewijnlaan,"[""50.9720309"", ""4.5024793""]"
Bovenkerkvoetweg,"[""50.9845526"", ""4.4631747""]"
Bovenweg,"[""50.9854694"", ""4.4632377""]"
Bremstraat,"[""50.9847412"", ""4.4980388""]"
Bremvoetweg,"[""50.9859923"", ""4.4972058""]"
Broekstraat,"[""50.9853905"", ""4.4891596""]"
Broekvoetweg,"[""50.9773869"", ""4.4894208""]"
Brouwershof,"[""50.9658881"", ""4.4578799""]"
Brouwershofvoetweg,"[""50.9664378"", ""4.4563023""]"
Brugvoetweg,"[""50.9896897"", ""4.4795792""]"
Brusselsesteenweg,"[""50.9866627"", ""4.4696261""]"
Buntgrasstraat,"[""50.9857023"", ""4.4998886""]"
Burggraaf Terlindenlaan,"[""50.9796253"", ""4.5125818""]"
Cardijnstraat,"[""50.9622561"", ""4.4556395""]"
