Straat,Coordinaten
't Zant,"[""50.99187532841412"", ""5.347343574798563""]"
Achter De Hoven,"[""50.99355038643322"", ""5.3664901549926665""]"
Alkenhoofseweg,"[""50.97959150021085"", ""5.3487001931470015""]"
Anjerstraat,"[""50.97364889047573"", ""5.359844521935482""]"
Averasbergstraat,"[""50.98509146208657"", ""5.403499055282599""]"
Ballebroekweg,"[""50.981532071816424"", ""5.3927234300157805""]"
Ballewijerweg,"[""50.98611182268678"", ""5.392317865258887""]"
Baskensbeemd,"[""50.98686486136098"", ""5.360845707057349""]"
Basveldweg,"[""50.984966302558526"", ""5.3911767658466765""]"
Batenstraat,"[""50.98524210561974"", ""5.36916419684714""]"
Beemdstraat,"[""50.97433713536816"", ""5.354768068265899""]"
Bekerveldweg,"[""50.98828313572625"", ""5.378970678965979""]"
Beringersteenweg,"[""50.9728462"", ""5.3618354""]"
Berkenenstraat,"[""51.0035069"", ""5.3714843""]"
Bervoetsbeemd,"[""50.973614334055846"", ""5.366488664944335""]"
Beskensstraat,"[""50.9916861"", ""5.353903""]"
Betteshof,"[""50.998512847323724"", ""5.3586835365997825""]"
Beverzakbroekweg,"[""50.96966693977202"", ""5.35128422801412""]"
Beverzakstraat,"[""50.97618275519882"", ""5.369848708327337""]"
Bijenwolfstraat,"[""50.99518242422389"", ""5.342340473847141""]"
Billiksteeg,"[""51.00914609734079"", ""5.359120979278998""]"
Blikveldweg,"[""50.99475337272431"", ""5.39944636321377""]"
Blookstraat,"[""51.00841097538056"", ""5.358237938814817""]"
Boddenveldweg,"[""50.994019363741145"", ""5.382778358367593""]"
Bokrijkseweg,"[""50.97290233755837"", ""5.395325538102725""]"
Bolderdal,"[""50.98299173367249"", ""5.313106761378521""]"
Bookmolenweg,"[""50.99061308537356"", ""5.385994080780917""]"
Boomhommelstraat,"[""50.9961308696456"", ""5.341028802848571""]"
Boomsteeg,"[""50.98530623070548"", ""5.3334204279349855""]"
Borgersheidestraat,"[""50.972331249999996"", ""5.32947135""]"
Boskensweg,"[""51.00085601742084"", ""5.3480918504487835""]"
Boskrekelstraat,"[""50.99694059666194"", ""5.343928716121933""]"
Breilaarschansweg,"[""51.00784393439914"", ""5.386565508745305""]"
Bremstraat,"[""50.9737829"", ""5.3604374""]"
Broekstraat,"[""51.00458540002491"", ""5.3490530975737975""]"
Bruinstraat,"[""51.0046485575737"", ""5.355940643085657""]"
Buitenhof,"[""50.98653217442546"", ""5.377183803538812""]"
Bunderweg,"[""50.996653538284704"", ""5.356204235888976""]"
Burkweg,"[""50.98773611040404"", ""5.37810875585972""]"
Daalheideweg,"[""50.97803052445965"", ""5.411192387595748""]"
Daalhof,"[""50.99764966617203"", ""5.367170073088138""]"
De Drij Dreven,"[""51.009985050000004"", ""5.3255184""]"
Delheidestraat,"[""50.9893833"", ""5.3356484""]"
Dellestraat,"[""50.99150049572895"", ""5.35527703906789""]"
Dennenweg,"[""50.98226463550133"", ""5.418663431298808""]"
Dijkbeemdenweg,"[""50.989969200000004"", ""5.3652622""]"
Dijkweidestraat,"[""50.987218233895895"", ""5.361572751574128""]"
Doktersstraat,"[""50.9774492076342"", ""5.355525981535111""]"
Donderslagseweg,"[""51.00497246382661"", ""5.392121385271461""]"
Donkeindeweg,"[""50.97028193640002"", ""5.347416591793336""]"
Donkveldweg,"[""50.98328523986534"", ""5.354172164647622""]"
Donkweg,"[""50.9849685"", ""5.3592489""]"
Dorpsplein,"[""50.9942976"", ""5.3670681""]"
Dorpsstraat,"[""50.99392488787377"", ""5.3675509353910975""]"
Dorsvlegelstraat,"[""FOUT, geen straat gevonden""]"
Drie Pistolenpad,"[""FOUT, geen straat gevonden""]"
Driesweg,"[""50.99494562758726"", ""5.363762363647454""]"
Dwarsstraat,"[""50.9990605"", ""5.3462422""]"
Eduard Eeversstraat,"[""50.988115248388716"", ""5.371443320733133""]"
Eikenenpad,"[""50.99665441857251"", ""5.366843508876991""]"
Eikenenweg,"[""51.00370432852196"", ""5.369964734732815""]"
Eikenuilstraat,"[""50.99646183580527"", ""5.343772939643437""]"
Eindestraat,"[""50.9773917"", ""5.3591656""]"
Ekkersputstraat,"[""50.99583250373739"", ""5.35923964105676""]"
Eksterstraat,"[""50.987983269848655"", ""5.4156861751932555""]"
Elsbergweg,"[""50.982752312067944"", ""5.39911824046466""]"
Elstrekenweg,"[""50.9835432"", ""5.4210577""]"
Engstegenseweg,"[""50.9934782"", ""5.3605581""]"
Genkerbaan,"[""50.9911381"", ""5.3690736""]"
Grote Eggestraat,"[""50.9892116139118"", ""5.369042683366008""]"
Grote Hellekensstraat,"[""50.98272783442669"", ""5.35547249709576""]"
Grote Hemmenweg,"[""50.9963556678984"", ""5.396453293770282""]"
Grote Plekweg,"[""50.980065441269446"", ""5.351595787645439""]"
Grote Zouwstraat,"[""50.98971296767851"", ""5.380684315848627""]"
Gulden Boomkensweg,"[""50.98949932821725"", ""5.375652675336088""]"
Haagdoornstraat,"[""51.00734592373009"", ""5.392245718037304""]"
Haagstraat,"[""51.001187815679295"", ""5.337342721944197""]"
Halveweg,"[""50.9951236"", ""5.3403454""]"
Hasseltse Beverzakstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Hazendansweg,"[""50.995842561690765"", ""5.392975237296131""]"
Heidebloemstraat,"[""50.973557802983535"", ""5.367111664797018""]"
Heikensstraat,"[""50.99420341102012"", ""5.338952191744159""]"
Heivinkstraat,"[""50.98873593102587"", ""5.415554269046956""]"
Hellekensstraat,"[""50.98272783442669"", ""5.35547249709576""]"
Helstraat,"[""51.008133017619585"", ""5.390095854925511""]"
Hemelhof,"[""51.0015548572438"", ""5.346450367189739""]"
Hendriksteeg,"[""50.98776092134183"", ""5.328574398147385""]"
Hengelhoefseweg,"[""50.99860064905998"", ""5.428489120760736""]"
Hengelsbroekweg,"[""50.99790711389295"", ""5.417479105392338""]"
Hennepveldweg,"[""50.991491938913704"", ""5.40213265804609""]"
Herestraat,"[""50.9916648"", ""5.3906502""]"
Het Koolhof,"[""50.99061805694809"", ""5.371136245648711""]"
Heuveneindeweg,"[""50.973711574593366"", ""5.362674310696675""]"
Heuvenstraat,"[""50.986593288462814"", ""5.367286419892454""]"
Hoekstraat,"[""50.97749498545449"", ""5.401182935102121""]"
Hoeveweg,"[""50.99879063485042"", ""5.360183892337852""]"
Hoge-Valweg,"[""50.99089723618551"", ""5.359635503501172""]"
Holleweg,"[""50.97668363736712"", ""5.358289063940192""]"
Holsteenweg,"[""50.99856538647594"", ""5.42616519641627""]"
Honnerikstraat,"[""50.97656456257818"", ""5.3617737965278325""]"
Hoogtestraat,"[""50.97809167787598"", ""5.411327228882391""]"
Hooiwagenstraat,"[""FOUT, geen straat gevonden""]"
Hortstraat,"[""50.9973734"", ""5.3392974""]"
Hortweidenweg,"[""50.9995112"", ""5.348352350000001""]"
Houthalenseweg,"[""50.99508766443963"", ""5.368886409308525""]"
Hulsbergweg,"[""51.004542"", ""5.3467068""]"
Hulskensweg,"[""50.985030507000154"", ""5.416100213051346""]"
Industrieweg,"[""51.000048"", ""5.3805449""]"
Industrieweg-Zuid,"[""50.99983255088624"", ""5.3883535736174055""]"
Jacob Lenaertsstraat,"[""50.97863908265712"", ""5.419268925268841""]"
Joutstraat,"[""50.97882498367914"", ""5.381969257130992""]"
KMO-zone Molenheide,"[""50.984329572954096"", ""5.428657889870407""]"
Kantoorweg,"[""50.994991208255705"", ""5.373850031245585""]"
Kapelbergweg,"[""50.99297934860138"", ""5.4168988941498""]"
Kapelhof,"[""50.9872717"", ""5.3683701500000005""]"
Karekietstraat,"[""50.992176198410114"", ""5.328689816463899""]"
Katschitstraat,"[""50.98340162415318"", ""5.345034524815785""]"
Katschotseweg,"[""50.9914529"", ""5.3847309""]"
Kauwbosstraat,"[""50.97343470318969"", ""5.396203209428637""]"
Keltenstraat,"[""50.9832187"", ""5.3820213""]"
Kerkenbeemdweg,"[""50.9866584"", ""5.3600781500000005""]"
Kerkplein,"[""50.99146955733425"", ""5.366934385982435""]"
