Straat,Coordinaten
Abeelstraat,"[""50.875163967169925"", ""3.8221179798562974""]"
Acacialaan,"[""50.86556707879803"", ""3.8198891233740255""]"
Acaciasteeg,"[""50.867447850000005"", ""3.8203253000000004""]"
Akeleistraat,"[""50.863049450510466"", ""3.820847509657176""]"
Alkeveld,"[""50.89815855455494"", ""3.7931850138943806""]"
Alleeken,"[""50.853245074559126"", ""3.784502226314416""]"
Alsbroeken,"[""50.86526945"", ""3.8047575""]"
Amandsberg,"[""50.87734171071515"", ""3.829073825622979""]"
Amarantstraat,"[""FOUT, geen straat gevonden""]"
Amedé De Clercqstraat,"[""FOUT, geen straat gevonden""]"
André Goffaertsstraat,"[""FOUT, geen straat gevonden""]"
André Schotteplein,"[""FOUT, geen straat gevonden""]"
Anemoonstraat,"[""50.878753"", ""3.8267133""]"
Anjerstraat,"[""50.8783603"", ""3.8248195""]"
Arthur Gevaertlaan,"[""50.873140253718596"", ""3.817758718081818""]"
Arthur Scheirisstraat,"[""50.86965791011808"", ""3.809543552434188""]"
Assensveld,"[""50.812634041978626"", ""3.7912951873857716""]"
Astridstraat,"[""50.904048180370985"", ""3.8391342455037254""]"
Atheneumstraat,"[""50.8650212045453"", ""3.809889754988411""]"
August De Rouckstraat,"[""50.87350589673615"", ""3.833019288670961""]"
Azaleastraat,"[""50.87567175"", ""3.8238490499999997""]"
Balegemstraat,"[""50.8946425"", ""3.8064551""]"
Ballingsweg,"[""50.87866079769877"", ""3.839160730947102""]"
Bambosstraat,"[""50.884240899999995"", ""3.8130245499999997""]"
Baron Boudewijnstraat,"[""50.89008708949542"", ""3.809547236237763""]"
Baron Idès della Failleplein,"[""50.88913116266636"", ""3.809767062989417""]"
Baronsweg,"[""50.87283624304846"", ""3.81821421868601""]"
Beggaardweg,"[""FOUT, geen straat gevonden""]"
Begoniastraat,"[""50.878380099254905"", ""3.8259100802423833""]"
Beislovenstraat,"[""50.874822314646885"", ""3.8069825192706155""]"
Bekweg,"[""50.86016091104916"", ""3.7883528892403473""]"
Berkenpark,"[""50.87710278833624"", ""3.823391522958824""]"
Berthoflos,"[""50.8257660000478"", ""3.8013966913004134""]"
Beugelstraat,"[""50.8800709"", ""3.7820681499999997""]"
Beukenstraat,"[""50.87594151462272"", ""3.81954070042927""]"
Bevegemkouter,"[""50.8671735477176"", ""3.8169447011686337""]"
Bevegemsevijvers,"[""50.86761221555417"", ""3.826095063206266""]"
Bevegemstraat,"[""50.8640513"", ""3.8261737""]"
Biestweg,"[""50.834600139351984"", ""3.823328224709484""]"
Bijlokepark,"[""50.87467895"", ""3.824429400393472""]"
Bijlokestraat,"[""50.8785693"", ""3.8291384""]"
Bijvoetstraat,"[""50.8633622"", ""3.8219869""]"
Blarenhoek,"[""50.8809961"", ""3.7912021""]"
Blekerij,"[""50.8673462"", ""3.7845815""]"
Bochoute,"[""50.9089223"", ""3.7489278""]"
Bontestraat,"[""50.8153018"", ""3.79936""]"
Boomgaardstraat,"[""50.8775383"", ""3.8501307""]"
Boskouter,"[""50.8828743"", ""3.8171505""]"
Bosmierweg,"[""50.9058467"", ""3.7714549""]"
Bosstraat,"[""50.8828409"", ""3.8256625""]"
Bostmolenstraat,"[""50.8625045"", ""3.7671209""]"
Bosveldstraat,"[""50.8619166"", ""3.8062138""]"
Boterhoekstraat,"[""50.8365664"", ""3.77989""]"
Brakelstraat,"[""50.8324935"", ""3.7897068""]"
Breemtweg,"[""50.9054028"", ""3.8314107""]"
Breistraat,"[""50.8955744"", ""3.7582334""]"
Bremstraat,"[""50.8762573"", ""3.824349""]"
Broeder Mareslaan,"[""50.8684886"", ""3.8155194""]"
Bronstraat,"[""50.856784"", ""3.8150395""]"
Brouwerijstraat,"[""50.865356"", ""3.8030018""]"
Bruggenhoek,"[""50.8749284"", ""3.8122104""]"
Bruinendries,"[""50.8671117"", ""3.8021614""]"
Buke,"[""50.878755"", ""3.8191179""]"
Burgem. Firmin De Meyerstraat,"[""FOUT, geen straat gevonden""]"
Busegemstraat,"[""50.8864094"", ""3.7624717""]"
Campagnestraat,"[""50.8595369"", ""3.8158567""]"
Crocusstraat,"[""FOUT, geen straat gevonden""]"
Cypresstraat,"[""50.8779408"", ""3.82672""]"
Dassegemstraat,"[""50.8904745"", ""3.8113795""]"
De Colfmackerstraat,"[""50.8646776"", ""3.8157373""]"
De Mote,"[""50.8684468"", ""3.8124126""]"
De Pauwstraat,"[""50.8707771"", ""3.8125144""]"
De Vlamme,"[""50.8539037"", ""3.8047356""]"
Deinsbekestraat,"[""50.8718646"", ""3.8154145""]"
Diepeweg,"[""50.8743429"", ""3.8580988""]"
Directeursplein,"[""50.8710089"", ""3.8083885""]"
Dokter Van Wymerschlaan,"[""50.8656464"", ""3.8208888""]"
Dolage,"[""50.8731903"", ""3.8114541""]"
Domein Breivelde,"[""50.86958985"", ""3.830856559120468""]"
Doolbosweg,"[""50.8848963"", ""3.7785463""]"
Doolstraat,"[""50.8666627"", ""3.833265""]"
