Straat,Coordinaten
3 Sluizenweg,"[""50.832537889849306"", ""5.099584819346104""]"
Achter de Kapel,"[""50.83407010826635"", ""5.103660562629911""]"
Aen Den Hoorn,"[""50.8323057791303"", ""5.10560821106236""]"
Asbroekstraat,"[""50.807367937359956"", ""5.1069275887126775""]"
Attenhovenstraat,"[""50.782469014237066"", ""5.097548800364101""]"
Beekstraat,"[""50.83246173942594"", ""5.101757038487328""]"
Begijnhofstraat,"[""50.833513479542425"", ""5.101460990862587""]"
Bergstraat,"[""FOUT, geen straat gevonden""]"
Bethaniastraat,"[""50.83018112497106"", ""5.102240794708237""]"
Bogaerdenstraat,"[""50.835068449999994"", ""5.10278725""]"
Boomgaardstraat,"[""50.869463986784154"", ""5.09834839473836""]"
Bosstraat,"[""50.84084341037155"", ""5.081290821910322""]"
Bosveldweg,"[""FOUT, straat in foute gemeente gevonden""]"
Bredestraat,"[""50.84670182627545"", ""5.125877342070817""]"
Broekstraat,"[""50.803977928770045"", ""5.09062415142658""]"
Bronstraat,"[""50.81963912877486"", ""5.129768599026325""]"
Budingenweg,"[""50.84063235749845"", ""5.107074567907903""]"
Bungebroek,"[""FOUT, geen straat gevonden""]"
Bungenveld,"[""50.862991300000004"", ""5.08797315""]"
De Pen,"[""50.80682917285587"", ""5.0866652953595635""]"
De Weermuur,"[""50.83568979347721"", ""5.106072287882774""]"
Dennebosstraat,"[""50.87171829637208"", ""5.062763318355938""]"
Diesterpoort,"[""50.83607613960701"", ""5.10658327452591""]"
Donkersteeg,"[""50.81953616553602"", ""5.09844874424336""]"
Dormaalstraat,"[""50.80194505101322"", ""5.1008440252217975""]"
Dorpsstraat,"[""50.79917609188139"", ""5.105283021530067""]"
Dr. R. Lowetstraat,"[""50.833743377694326"", ""5.102201723758432""]"
Drieslaan,"[""50.82773117343829"", ""5.121505476309146""]"
Drinkwater,"[""50.817421951483084"", ""5.112354287237945""]"
Dungelstraat,"[""50.81029506702452"", ""5.109980460419086""]"
Durasweg,"[""50.8528278478244"", ""5.132007971972822""]"
Elstraat,"[""50.81675833476597"", ""5.110500113518392""]"
Galgenberg,"[""50.79732028399185"", ""5.074426556478035""]"
Ganzenkooi,"[""50.81156731822776"", ""5.099013930805732""]"
Getestraat,"[""50.84983376780542"", ""5.078539337018273""]"
Grazenseweg,"[""50.861787449999994"", ""5.10988145""]"
Groenplaats,"[""50.83346254265935"", ""5.102500018963489""]"
Groenstraat,"[""50.868201733402735"", ""5.094126304588745""]"
Grote Markt,"[""50.83387981525425"", ""5.103888120149317""]"
Grote Steenweg,"[""50.8104697"", ""5.1296152""]"
Hallestraat,"[""50.824016079603034"", ""5.1365795615224865""]"
Halstraat,"[""50.88149068500007"", ""5.0754439805467975""]"
Heerbaan,"[""50.8684758804222"", ""5.080213543131647""]"
Heerweg,"[""50.788359814809894"", ""5.0969023639635145""]"
Hekstraat,"[""50.86633148516446"", ""5.09984156526059""]"
Hildelbergstraat,"[""50.80755029872854"", ""5.0932360096129194""]"
Hof ten Rhode,"[""50.86187185"", ""5.1213084""]"
Hogenstraat,"[""50.88292655089675"", ""5.066941714613362""]"
Hondsveld,"[""50.78541007662894"", ""5.10896717388918""]"
Houtstraat,"[""50.814065020364446"", ""5.12082051100772""]"
Hulsbergstraat,"[""50.87273623597813"", ""5.075066875935052""]"
Jan van Heelustraat,"[""50.8192442"", ""5.0866816""]"
Jodenstraat,"[""50.86796145369361"", ""5.06663843582544""]"
Jonas Vlayen pad,"[""FOUT, geen straat gevonden""]"
Kalemanstraat,"[""50.8083885633944"", ""5.143917496212357""]"
Kanonstraat,"[""50.83335645288366"", ""5.105223623191419""]"
Kapelstraat,"[""50.833956454079484"", ""5.10294131243447""]"
Keienbergstraat,"[""50.853420725035825"", ""5.117792047784071""]"
Kerkhofstraat,"[""50.807976018022984"", ""5.113064412919001""]"
Kerkstraat,"[""50.80954520514875"", ""5.101635582106397""]"
Kersenlaarlaan,"[""50.80656137559238"", ""5.124300617424186""]"
Ketelstraat,"[""50.870562739995115"", ""5.070409513743463""]"
Kleine Veldweg,"[""FOUT, geen straat gevonden""]"
Klipstraat,"[""50.85789800286787"", ""5.115161260991631""]"
Kloosterstraat,"[""50.83173136838175"", ""5.104179788937165""]"
Klottenbergstraat,"[""50.86898400155179"", ""5.057090129877309""]"
Koepoortstraat,"[""50.8250594"", ""5.0961362""]"
Kouterberg,"[""50.80133864531882"", ""5.128597855645218""]"
Kruisveldstraat,"[""50.830907554105515"", ""5.088041082048025""]"
Kwaadmenskenssteeg,"[""FOUT, geen straat gevonden""]"
Kwadeplas,"[""50.81235883434388"", ""5.126796923810772""]"
Leenhaagstraat,"[""50.86824609991579"", ""5.072795539814424""]"
Leeuwerstraat,"[""50.855151"", ""5.108867500000001""]"
Leeuwerweg,"[""FOUT, straat in foute gemeente gevonden""]"
Lewastraat,"[""50.83084565885216"", ""5.114935677953286""]"
Lindeweg,"[""50.855382490119595"", ""5.125912981871958""]"
Linnebeekstraat,"[""50.873948699236486"", ""5.071104705569958""]"
Linterseweg,"[""50.863852682924154"", ""5.096035894536986""]"
Louis Claeslaan,"[""50.820657499999996"", ""5.1243035""]"
Meerschenweg,"[""50.79656546206475"", ""5.108140544625028""]"
Melkweg,"[""50.847976849999995"", ""5.098718900000001""]"
Merelnest,"[""FOUT, straat in foute gemeente gevonden""]"
Moesbeekstraat,"[""50.83167565"", ""5.078507999999999""]"
Molenstraat,"[""50.85868205740508"", ""5.098030526417407""]"
Molenveldstraat,"[""50.82813692667972"", ""5.107562330334483""]"
Muggenberg,"[""50.84825239994887"", ""5.136581416723596""]"
Neerlandensestraat,"[""50.804304878857444"", ""5.096349652213391""]"
Nieuwe Neerlandensestraat,"[""50.80632199795353"", ""5.098365038973208""]"
Nieuwstraat,"[""50.82775625"", ""5.1039007000000005""]"
Orsmaalstraat,"[""50.800867689206726"", ""5.099491941800837""]"
Ossenwegstraat,"[""50.831502967028825"", ""5.111066650593405""]"
Oude Getesteeg,"[""50.8101577937855"", ""5.0877991254067565""]"
Oude Kassei,"[""50.835233306231906"", ""5.092260384022682""]"
Paardenbrugstraat,"[""50.83319099491216"", ""5.100430550097763""]"
Panisbornestraat,"[""50.865502932954314"", ""5.057929383682316""]"
