Straat,Coordinaten
15 Augustusstraat,"[""50.9314921"", ""5.5810468""]"
Asserweg,"[""50.96388165862529"", ""5.564519474189275""]"
Bergstraat,"[""50.918407167902416"", ""5.572566437322622""]"
Berkenstraat,"[""50.93823655"", ""5.5940124""]"
Bessenstraat,"[""50.92254072436871"", ""5.604395142492923""]"
Beukenbergstraat,"[""50.932929209121404"", ""5.566909598184613""]"
Beverstseweg,"[""50.9476164"", ""5.5505779""]"
Bijenbergstraat,"[""50.91494543755018"", ""5.580327643366154""]"
Bilzerweg,"[""50.90875117266298"", ""5.535123117509614""]"
Blookbergstraat,"[""50.92848052529809"", ""5.57179711849934""]"
Boekweitstraat,"[""50.953970501712575"", ""5.556701689450136""]"
Boeneveldstraat,"[""50.9434632385216"", ""5.5594321767245365""]"
Boogstraat,"[""50.93357763036663"", ""5.596930387604335""]"
Bornestraat,"[""50.96034887554061"", ""5.553648810478431""]"
Bosscherveldstraat,"[""50.94439390925905"", ""5.5504481705571695""]"
Boxstraat,"[""50.93035575999101"", ""5.567285392232844""]"
Braamstraat,"[""50.930842956043705"", ""5.586158947295132""]"
Bremstraat,"[""50.93998401762656"", ""5.588043867461395""]"
Broekerveldweg,"[""50.909630831839934"", ""5.566855075422664""]"
Broekmolenweg,"[""50.916615473451614"", ""5.549585062465889""]"
Bronnenstraat,"[""50.9310778"", ""5.57187555""]"
Bruidsstraat,"[""50.91918901661624"", ""5.583712377135652""]"
Burgemeester Remansstraat,"[""50.93231201594686"", ""5.574418737210324""]"
Daalstraat,"[""50.93165896461639"", ""5.571631230321026""]"
De Hovenstraat,"[""50.94050035525346"", ""5.5886135614699946""]"
Delstraat,"[""50.92617359899861"", ""5.566077254711598""]"
Dennenbosstraat,"[""50.95829909976202"", ""5.564862171409822""]"
Dielebergstraat,"[""50.92037977549856"", ""5.560844171701615""]"
Dijkstraat,"[""50.91552165955468"", ""5.540966974053581""]"
Dofstichelstraat,"[""50.93673273860215"", ""5.553673268785728""]"
Dorperveld,"[""FOUT, geen straat gevonden""]"
Dorpsplein,"[""50.932054449999995"", ""5.572932518072219""]"
Dorpsstraat,"[""50.93142920502948"", ""5.573236056924611""]"
Driesprongstraat,"[""50.9219831"", ""5.5816127""]"
Driesstraat,"[""50.9202784"", ""5.6021587""]"
Eigenbilzerweg,"[""50.91187213566192"", ""5.585819518722159""]"
Eikenstraat,"[""50.9351288"", ""5.5868694""]"
Eindstraat,"[""50.95924106218183"", ""5.5703821169427155""]"
Flikkebergstraat,"[""50.932043549108286"", ""5.582073825225674""]"
Fossielstraat,"[""50.93534796112133"", ""5.551012370318069""]"
Gagelstraat,"[""50.95453208099332"", ""5.565801934805786""]"
Geelkesstraat,"[""50.934670749999995"", ""5.58120075""]"
Geerkensstraat,"[""50.93574343903907"", ""5.561393436593905""]"
Geerkensveldstraat,"[""50.93322613322753"", ""5.5651360345683""]"
Gelierseweg,"[""50.959963949458704"", ""5.550239065307361""]"
Gellikerweg,"[""50.91241839960478"", ""5.590732539844676""]"
Gemeenteplein,"[""50.93385805666747"", ""5.57269558201061""]"
Genkerweg,"[""50.94213255"", ""5.5540506""]"
Gijzenveldstraat,"[""50.9162043"", ""5.592494""]"
Graafgracht,"[""50.93838776749085"", ""5.595237013094584""]"
Grensweg,"[""FOUT, straat in foute gemeente gevonden""]"
Groenstraat,"[""50.921552899999995"", ""5.599410349999999""]"
Grotstraat,"[""50.95205645772846"", ""5.559180210762925""]"
Haenenstraat,"[""50.92078946218073"", ""5.576486300722082""]"
Halmstraat,"[""50.9327599"", ""5.5892092""]"
Hansenstraat,"[""50.9464304389666"", ""5.56428015480182""]"
Hederikstraat,"[""50.95430454962611"", ""5.56425465049651""]"
Heibergstraat,"[""50.929914884972"", ""5.5694212655575415""]"
Heiblookstraat,"[""50.93785905"", ""5.5868226""]"
Heiwijkerweg,"[""50.94194869078491"", ""5.59353108919118""]"
Hermkesstraat,"[""50.94750056136605"", ""5.557533538427684""]"
Hertenweg,"[""50.91069364906193"", ""5.607446899541298""]"
Hoefaartseweg,"[""50.91030183472714"", ""5.5876438965042485""]"
Hoekstraat,"[""50.93227446227182"", ""5.563830652634549""]"
Hommelstraat,"[""50.930104320859215"", ""5.5921088468431215""]"
Honingstraat,"[""50.91461415146189"", ""5.581040837916381""]"
Hoogkantstraat,"[""50.91361605775651"", ""5.587399618578128""]"
Hoogputstraat,"[""50.931710730624175"", ""5.595017550459017""]"
Hoogstraat,"[""50.9364983"", ""5.5659249""]"
Imkerstraat,"[""50.907292587943566"", ""5.607866301987207""]"
Jachthoornplein,"[""50.95329927903524"", ""5.5607732346684084""]"
Jagersstraat,"[""50.92609035203572"", ""5.598210187490818""]"
Kanaalstraat,"[""50.914863134582866"", ""5.540162826031882""]"
Kantoorstraat,"[""50.923664489794504"", ""5.60615533338791""]"
Kanunnik Coenenstraat,"[""50.95224104581658"", ""5.562826810000749""]"
Kapelveldstraat,"[""50.93724685"", ""5.5517509""]"
Karweistraat,"[""50.92275349411483"", ""5.601704437734379""]"
Kattestaartstraat,"[""50.93602063730429"", ""5.5699190910316485""]"
Kattevennerweg,"[""50.95270440547115"", ""5.556562959076299""]"
Kempenseweg,"[""50.9396275"", ""5.5603125""]"
Kennepstraat,"[""50.91843350285836"", ""5.566055448699417""]"
Kerkplein,"[""50.93218965"", ""5.5712692""]"
Kerkstraat,"[""50.93359375"", ""5.5706551""]"
Kiewitseweg,"[""50.90720333634201"", ""5.603868905300864""]"
Kinenhofstraat,"[""50.9374268"", ""5.5549052""]"
Kliebosstraat,"[""50.92776556089954"", ""5.5891612901525765""]"
Koelbrikstraat,"[""50.936193349999996"", ""5.58711915""]"
Kopeikstraat,"[""50.933249680387625"", ""5.566852934216699""]"
Korenstraat,"[""50.92958372284263"", ""5.576940887036165""]"
Kostensteeg,"[""50.949037196845616"", ""5.561729204676147""]"
Krekelstraat,"[""50.93230950221589"", ""5.565672314875146""]"
Kromme Heiweg,"[""50.917726752733095"", ""5.559549195419461""]"
Kruisbosstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Langblookstraat,"[""50.94937930398339"", ""5.552981459259471""]"
Langendijkstraat,"[""50.92007685"", ""5.53688665""]"
Leeuwerikstraat,"[""FOUT, geen straat gevonden""]"
Lemmesplein,"[""50.9318789"", ""5.57067405""]"
Lemmessteeg,"[""50.93190802717827"", ""5.571010765316535""]"
Leutsestraat,"[""50.956382500000004"", ""5.5661208""]"
Lichttorensteeg,"[""50.932678167989195"", ""5.571494999814183""]"
Lindenstraat,"[""50.94946755702256"", ""5.5579196942216935""]"
Linkesstraat,"[""50.938147705290454"", ""5.581820531443595""]"
Liseveldweg,"[""50.92529490917181"", ""5.57324332598618""]"
Looienveldstraat,"[""50.950461264624316"", ""5.553765088087798""]"
Maastrichterstraat,"[""50.93232009482567"", ""5.5896496244026155""]"
Malbroekstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Mandelseweg,"[""50.92277600753079"", ""5.596175548548614""]"
Mathijsenblookstraat,"[""50.93410408917626"", ""5.574257467010661""]"
Meerstraat,"[""50.93469451830457"", ""5.585038283271996""]"
Merellaan,"[""50.9287398"", ""5.5747999""]"
Meyersveldstraat,"[""50.93413328198171"", ""5.565721706208313""]"
Molenblookstraat,"[""50.93979065377368"", ""5.559008276639759""]"
Muggenbergstraat,"[""50.92437729475943"", ""5.556892331281267""]"
Munstersestraat,"[""FOUT, geen straat gevonden""]"
Nachtegalenstraat,"[""50.92958865"", ""5.57246155""]"
Neereindestraat,"[""50.933149942370356"", ""5.571974924257911""]"
Nettersheimplein,"[""50.93280865"", ""5.572413439803177""]"
Nieuwstraat,"[""50.93323625980387"", ""5.57321599730001""]"
Noordlaan,"[""50.959179958204444"", ""5.552299116557675""]"
O.-L.-Vrouwestraat,"[""FOUT, geen straat gevonden""]"
Oosterzonneplein,"[""50.93342544743934"", ""5.572446162667005""]"
Ossebergstraat,"[""50.9344643"", ""5.5778894""]"
Oud Kantoorstraat,"[""FOUT, straat in foute gemeente gevonden""]"
Oude Postweg,"[""FOUT, straat in foute gemeente gevonden""]"
Oude Tramweg,"[""50.93055610640875"", ""5.575257482014624""]"
Oudestraat,"[""50.949446515566564"", ""5.559264147551279""]"
Pandenstraat,"[""50.93730200209692"", ""5.571909417062628""]"
Pastoor Peetersstraat,"[""50.95188318661783"", ""5.563394169075666""]"
Pastoorsstraat,"[""50.92833615350335"", ""5.569603981746524""]"
Postesstraat,"[""50.95164486608403"", ""5.560734721509913""]"
Poukerbergstraat,"[""50.919478545645305"", ""5.605535379344724""]"
Rechtestraat,"[""50.9374993"", ""5.58995595""]"
Roelerweg,"[""50.91432989729309"", ""5.595289314713636""]"
Roeteweg,"[""50.910191330451795"", ""5.577142300152618""]"
Schansstraat,"[""50.91022301647493"", ""5.570118349390333""]"
Schepersstraat,"[""50.9481531"", ""5.5597047""]"
Schoolstraat,"[""50.92938385"", ""5.5713622""]"
Schoverikstraat,"[""50.93595045"", ""5.55244965""]"
Sellerveldstraat,"[""50.9382281100664"", ""5.546639967760174""]"
Siemensstraat,"[""FOUT, geen straat gevonden""]"
Sint-Hubertusstraat,"[""50.96281543277124"", ""5.565575479603628""]"
Sint-Jozefsstraat,"[""50.95258687842544"", ""5.56404714896253""]"
Sint-Rochusstraat,"[""50.932915359175944"", ""5.585325290847955""]"
Sledderlosestraat,"[""50.928489734784996"", ""5.562303065051976""]"
Smitsstraat,"[""50.9259881"", ""5.5574033""]"
Soldatenweg,"[""50.939427245950974"", ""5.56588394140284""]"
Speelheuvelstraat,"[""50.917404910126024"", ""5.589204006015422""]"
Sprinkelestraat,"[""50.93408865249073"", ""5.576861451691556""]"
Stalkerweg,"[""50.92100799887243"", ""5.58480672386923""]"
Steenblookstraat,"[""50.94101980240125"", ""5.557415037755273""]"
Stevoordseweg,"[""50.910266325420494"", ""5.591276001700655""]"
Stielestraat,"[""50.955123903335156"", ""5.55977454237673""]"
Struweelstraat,"[""50.93967955115405"", ""5.5955202735946425""]"
Terboekterstraat,"[""50.93815399419148"", ""5.556267376272122""]"
Tiendenstraat,"[""50.91775082511166"", ""5.540393822410106""]"
Trekschuitweg,"[""50.91364455246659"", ""5.538366919264986""]"
Trichterweg,"[""50.9278107"", ""5.5987609""]"
Turfstraat,"[""50.95525800181595"", ""5.564217502888545""]"
Valkenbergstraat,"[""50.9209392"", ""5.6066106""]"
Veldstraat,"[""50.933233643593375"", ""5.555385524683471""]"
Venstraat,"[""50.958630010542386"", ""5.57451444480319""]"
Veugenstraat,"[""50.9454100105139"", ""5.55469639683489""]"
Vijverplein,"[""50.931007799999996"", ""5.57074825""]"
Vleugelsweg,"[""50.95253165120557"", ""5.554098128864378""]"
Vliegveldstraat,"[""50.95829535"", ""5.5681136""]"
Vlierstraat,"[""50.921586863999075"", ""5.603641933966283""]"
Vonderstraat,"[""50.93043813892125"", ""5.5720849840838795""]"
Vrekelerstraat,"[""50.9408881664058"", ""5.583008977370089""]"
Waltstraat,"[""50.92719609607418"", ""5.590335491796544""]"
Watermolenweg,"[""50.91659685933444"", ""5.542535905422074""]"
Wevelstraat,"[""50.95066176205439"", ""5.557882247598562""]"
Wijngaardstraat,"[""50.929180474146584"", ""5.5643954433028""]"
Windmolenstraat,"[""50.932498652544396"", ""5.576738310340125""]"
Winkesstraat,"[""50.954587547225564"", ""5.558870466650622""]"
Wolvegracht,"[""50.94171974610851"", ""5.592483089731453""]"
Woudmeester Bodeuxstraat,"[""50.95319155"", ""5.5614577999999995""]"
Zandstraat,"[""50.92944628920204"", ""5.5580745348850895""]"
Zevenputtenstraat,"[""50.92165705"", ""5.54038755""]"
Zuidwinkelstraat,"[""50.93457565"", ""5.5729073499999995""]"
Zuurbroekstraat,"[""50.92160110165803"", ""5.578527819175678""]"
