Straat,Coordinaten
Armekleie,"[""50.84011050282389"", ""3.7165882629162454""]"
Astridstraat,"[""50.87341598777972"", ""3.7269561456914615""]"
Bareelstraat,"[""50.90922380227236"", ""3.700664080368509""]"
Beekmeers,"[""50.90424254512617"", ""3.708712523806318""]"
Beekmeersstraat,"[""50.89458597806162"", ""3.694468263435872""]"
Beekweg,"[""50.903596260625704"", ""3.739975791185738""]"
Beerlegemsebaan,"[""50.91135317445673"", ""3.719616632941142""]"
Beklos,"[""50.90294652286522"", ""3.7266064526373155""]"
Bergketse,"[""50.853710499027066"", ""3.759637967009398""]"
Bergstraat,"[""50.887128346771696"", ""3.7111500960124544""]"
Biesstraat,"[""50.88669084410156"", ""3.6892817403881875""]"
Biestmolenstraat,"[""50.884438927754374"", ""3.6890360236480184""]"
Boekelbaan,"[""50.85122800772169"", ""3.7193648200776646""]"
Boembeekstraat,"[""50.84831821021968"", ""3.759948830660622""]"
Borstekouterstraat,"[""50.866098804483734"", ""3.753389027186597""]"
Bosseveld,"[""50.83637840816693"", ""3.718045141836617""]"
Bovenlos,"[""50.8854767890074"", ""3.7272758896065743""]"
Bovenstraat,"[""50.88934008864024"", ""3.706924164681416""]"
Bronweg,"[""50.865420499813666"", ""3.7202622191530867""]"
Brouwerijstraat,"[""50.90514415581481"", ""3.7394412550401164""]"
Bruggenhoek,"[""50.87387815282145"", ""3.749820081601129""]"
Bruul,"[""50.88549369551085"", ""3.732128541175648""]"
Caildenberg,"[""50.858296187825154"", ""3.704219093524627""]"
De Vlaander,"[""50.892563938002894"", ""3.7048103942124246""]"
Decoenestraat,"[""50.87727184105625"", ""3.729944805585668""]"
Dikkelsebaan,"[""50.90496379764345"", ""3.7412107976277347""]"
Dries,"[""50.881090535478954"", ""3.7056339182545175""]"
Eesstraat,"[""50.84210631503938"", ""3.72903984036757""]"
Elzenlaan,"[""50.873699450000004"", ""3.7313941802669355""]"
Fonteinstraat,"[""50.86837537182491"", ""3.745899252130866""]"
Franskouter,"[""50.85255642503586"", ""3.7183352075299467""]"
Galerijpad,"[""50.8804557"", ""3.71468445""]"
Gavelink,"[""50.880448799999996"", ""3.7231653500000004""]"
Gaverbosdreef,"[""50.8815184"", ""3.7275772""]"
Gaverstraat,"[""50.908686822732555"", ""3.7098787028771394""]"
Gerrestraat,"[""50.85899885157867"", ""3.744148222588431""]"
Groenstraat,"[""50.8579770687841"", ""3.763725942081169""]"
Groenze,"[""50.89329425285946"", ""3.6847212474520803""]"
Grootveldweg,"[""50.881966534407134"", ""3.71146320095718""]"
Hazenlos,"[""50.88134233221136"", ""3.700197147776673""]"
Hekkeveld,"[""50.876555081171034"", ""3.695431212764808""]"
Heksenmeers,"[""50.88945486361715"", ""3.7425344229012567""]"
Hembeke,"[""50.885336678008066"", ""3.7231200366651946""]"
Hemelrijk,"[""50.89631173279717"", ""3.711130973419957""]"
Herpelstraat,"[""50.8724831471607"", ""3.7451386167248324""]"
Heufkensstraat,"[""50.87083470291254"", ""3.707460601409383""]"
Heuvelgem,"[""FOUT, straat in foute gemeente gevonden""]"
Heuverstraat,"[""50.85398914323877"", ""3.7234246728444695""]"
Hoeksken,"[""50.901852620145796"", ""3.7436103676651524""]"
Holvarent,"[""50.89385036498666"", ""3.7503685246350096""]"
Holweg,"[""50.89611167985729"", ""3.7230030720446474""]"
Hoofd,"[""50.89319896976062"", ""3.7377947634782136""]"
Hooglaan,"[""50.84924993525519"", ""3.739822808436653""]"
Hoogstraat,"[""50.88505831327233"", ""3.685685387607365""]"
Houtstraat,"[""50.89127408153863"", ""3.691809030615239""]"
Hundelgemsebaan,"[""50.88699935"", ""3.75742485""]"
Huttegemstraat,"[""50.8591839193572"", ""3.749306794262209""]"
Jagersbos,"[""50.85260083713687"", ""3.710953735661493""]"
Kaaistraat,"[""50.898572138161285"", ""3.692014307730493""]"
Kamperstraat,"[""50.85277432127235"", ""3.7555963616678834""]"
Kapellestraat,"[""50.894794516007586"", ""3.7194608083726384""]"
Kasteeldreef,"[""50.90387410984963"", ""3.715235320783547""]"
Kazernestraat,"[""50.887361500795215"", ""3.7513342450363845""]"
Kerkstraat,"[""50.8881778790762"", ""3.7491351045772725""]"
Ketse,"[""50.86793813814338"", ""3.7284366355539746""]"
Kloosterstraat,"[""50.86445097194465"", ""3.7527604023717096""]"
Knokstraat,"[""50.87181257169189"", ""3.697376565679365""]"
Koedrevestraat,"[""50.867882455493934"", ""3.7608705714775836""]"
Konkelstraat,"[""50.861574147170565"", ""3.698615778571688""]"
Koornbloemstraat,"[""50.90122536358109"", ""3.734988798950363""]"
Kortendries,"[""50.87850410702258"", ""3.7469171506166017""]"
Kouteren,"[""50.855425116713086"", ""3.7297498252537213""]"
Koutergat,"[""50.90380243007309"", ""3.7354699679622385""]"
Kouterken,"[""50.89698410193117"", ""3.6882358489996503""]"
Krekelstraat,"[""50.88231729524739"", ""3.7550297329483677""]"
Kuiperstraat,"[""50.90383969220833"", ""3.7394078366133767""]"
Langemunte,"[""50.89089470585078"", ""3.7019968886621046""]"
Langemuntstraat,"[""50.89206156920586"", ""3.696858603046911""]"
Langewegeling,"[""50.898984049463095"", ""3.7481219509910826""]"
Latemdreef,"[""50.885499892338096"", ""3.690747803590652""]"
Lijsterbeslaan,"[""50.87446089713067"", ""3.73035495422521""]"
Lindeken,"[""50.88659433440455"", ""3.742382852728925""]"
Lindestraat,"[""50.8964008564791"", ""3.6933651293542717""]"
Lindeveld,"[""50.85482401996067"", ""3.7347598439264145""]"
MEERSESTRAAT,"[""FOUT, straat in foute gemeente gevonden""]"
Machelgemstraat,"[""50.86219640947362"", ""3.7660262158554314""]"
Maesegem,"[""50.858430029730656"", ""3.7317318276030926""]"
Makkegem,"[""50.87227109549183"", ""3.71394652041135""]"
Marlboroughstraat,"[""FOUT, geen straat gevonden""]"
Maudries,"[""FOUT, geen straat gevonden""]"
Meelgracht,"[""50.88890640636685"", ""3.6973033163394597""]"
Meilegemstraat,"[""50.90536101795694"", ""3.701877552696205""]"
Mijnwerkerspad,"[""50.845834818541185"", ""3.7626584491855404""]"
Moldergem,"[""50.870015636408624"", ""3.6978117206990904""]"
Molenberg,"[""50.8596088"", ""3.7029616""]"
Molenhoek,"[""50.853727140046196"", ""3.747863288876692""]"
Molenpad,"[""50.87950160739927"", ""3.738310305879353""]"
Munkbosstraat,"[""50.905839672508336"", ""3.7449201636722815""]"
Neerbostweg,"[""50.86889419710112"", ""3.7395102352616583""]"
Neerkouter,"[""50.8682476"", ""3.7107034""]"
Neerstraat,"[""50.886076740991754"", ""3.689087363956068""]"
Noordlaan,"[""50.88179688304045"", ""3.7350649333672683""]"
Olmkensstraat,"[""FOUT, geen straat gevonden""]"
Ommegangstraat,"[""50.85010731113847"", ""3.7476552202155875""]"
Oude Gentbaan,"[""50.897566264347475"", ""3.7342283799870457""]"
Oude Scheldestraat,"[""50.903699209793224"", ""3.6919139186542522""]"
Oudenweg,"[""50.90491108848806"", ""3.719623277849765""]"
Paalweg,"[""50.85368058895417"", ""3.7167609879787897""]"
Paardekouter,"[""50.85739059919052"", ""3.7622066512967773""]"
Paepstraat,"[""50.907326473846865"", ""3.697159983992555""]"
Paulatemstraat,"[""50.89173607633812"", ""3.7086484564881497""]"
Peperstraat,"[""50.89383767639745"", ""3.6858976437287354""]"
Pontweg,"[""50.88250591976057"", ""3.748247033497656""]"
Rekegemstraat,"[""50.87425943879655"", ""3.740370179488615""]"
