Straat,Coordinaten
't Leeuwke,"[""50.80592760314838"", ""3.3418839930417756""]"
Aardbeienstraat,"[""50.805458200000004"", ""3.3362905""]"
Abeele,"[""50.81579445"", ""3.3262156999999997""]"
Acacialaan,"[""50.808979342594824"", ""3.333814168835692""]"
Achiel Quatannensstraat,"[""50.7832278"", ""3.4130143000000004""]"
Achterhoek,"[""50.78108337729466"", ""3.365572156589503""]"
Albert Servaesstraat,"[""50.82133245"", ""3.35699095""]"
Albertstraat,"[""50.81218288851399"", ""3.336950574597025""]"
Albrecht Rodenbachstraat,"[""50.81110873042906"", ""3.342851279965581""]"
Antoinette Vandenbulckestraat,"[""50.76853917782808"", ""3.401069214771426""]"
Armand Bulteelstraat,"[""50.75355515"", ""3.36850745""]"
Arteveldestraat,"[""50.78391709448335"", ""3.4121843908049327""]"
Astenstraat,"[""50.810817668035625"", ""3.3927279197539875""]"
Avelgemstraat,"[""50.79821837874641"", ""3.3576103956928884""]"
Bakkerijstraat,"[""50.77833019875359"", ""3.4114270856542324""]"
Bakkershof,"[""50.80212260525517"", ""3.332642321195988""]"
Banhout,"[""50.8090927"", ""3.376504""]"
Banhoutstraat,"[""FOUT, geen straat gevonden""]"
Basiel Naessensstraat,"[""FOUT, geen straat gevonden""]"
Bavegemstraat,"[""50.768307605197066"", ""3.386699706248468""]"
Beekstraat,"[""50.80100296377785"", ""3.315752274609996""]"
Beerboslaan,"[""50.771900900000006"", ""3.3302906""]"
Beerbosstraat,"[""50.77881302886241"", ""3.345558656457749""]"
Bekaertstraat,"[""50.81532180647667"", ""3.327544218789936""]"
Bellegemstraat,"[""50.8032249"", ""3.3444095""]"
Berkenlaan,"[""50.807731505220126"", ""3.334384097714958""]"
Beukenlaan,"[""50.77301668464877"", ""3.392501911824738""]"
Blauwvoetstraat,"[""50.8065616448933"", ""3.420642926201781""]"
Blinde Kapellestraat,"[""50.79499896757048"", ""3.410318928041745""]"
Bloemenhof,"[""50.8011136"", ""3.3352605""]"
Blokellestraat,"[""50.81169450230356"", ""3.3491427584813396""]"
Blokkestraat,"[""50.82071760926915"", ""3.3325772174881703""]"
Boerderijstraat,"[""50.81728121258536"", ""3.3236903674454323""]"
Boeveriestraat,"[""50.7609725"", ""3.3803216""]"
Bossuitstraat,"[""50.761545687921625"", ""3.4044417426505285""]"
Braambessenstraat,"[""50.80626405"", ""3.33607625""]"
Broekenhoek,"[""50.77478278663945"", ""3.368278511767954""]"
Brouwerijstraat,"[""50.805003503398844"", ""3.4191833749046916""]"
Brucqstraat,"[""50.773020945305454"", ""3.334577220647914""]"
Caventestraat,"[""50.7967896779971"", ""3.4302629595916474""]"
Charles Decockstraat,"[""50.78349468143637"", ""3.4141735598891962""]"
Cloetstraat,"[""50.7952873"", ""3.3238407""]"
Comminnestraat,"[""50.783896465057175"", ""3.3677332239036426""]"
Constant Permekestraat,"[""50.82155145681031"", ""3.3561706175686905""]"
Daeleweg,"[""50.74946308121002"", ""3.366201489914504""]"
Dahliadreef,"[""50.80163465"", ""3.3386597""]"
Dalestraat,"[""50.752699207028485"", ""3.3648084571199752""]"
De Klijte,"[""50.778419633850376"", ""3.387903051745965""]"
De Souterrain,"[""50.787364883936434"", ""3.378260081760491""]"
De Vlaminck,"[""50.77899963447435"", ""3.406212206566314""]"
Deerlijkstraat,"[""50.82130576887733"", ""3.342503813903559""]"
Demeesterstraat,"[""50.813824135954555"", ""3.3456847699775967""]"
Den Helder,"[""50.786319598700764"", ""3.360898140479651""]"
Denemarkenlaan,"[""50.808458464193954"", ""3.3494494411487383""]"
Devroes Molenstraat,"[""50.8131277"", ""3.3197540500000002""]"
Diesveldstraat,"[""50.819157526502515"", ""3.4034262451182493""]"
Dokkestraat,"[""50.800058589686856"", ""3.385031546932495""]"
